basepk,topic,category,procedural_score,error_x,error_y
2857591,criticism of bilingualism implementation methods,Intergovernmental & Constitutional Affairs,0.25,,
2857595,bilingualism and official languages act,Intergovernmental & Constitutional Affairs,0.5,,
2857644,order of business,Parliamentary Affairs,0.75,,
2857699,order of business for ways and means,Parliamentary Affairs,0.75,,
2857718,feed grain stocks for eastern producers,Agriculture & Natural Resources,0.5,,
2857770,federal-municipal tax revenue imbalance,Economic & Fiscal Policy,0.0,,
2857783,compensation for death of Canadians in Zambia,Foreign Affairs & Defence,0.0,,
2857803,government wheat purchases from competing countries,Trade & Industry,0.0,,
2857811,grasslands incentive program for meat production,Agriculture & Natural Resources,0.0,,
2857931,return to motions for question on Zambian deaths,Parliamentary Affairs,0.75,,
2857940,amendment motivation and party division,Parliamentary Affairs,0.5,,
2857969,agreement on debate conclusion,Parliamentary Affairs,0.75,,
2858012,official languages in public service,Social Policy,0.0,,
2858050,federal support for the fishing industry,Agriculture & Natural Resources,0.0,,
2858052,aboriginal rights and proclamation of 1763,Indigenous & Northern Affairs,0.25,,
2858056,Pickering airport development opposition,Government Operations & Ethics,0.25,,
2858071,D-Day anniversary and national unity,Intergovernmental & Constitutional Affairs,0.25,,
2858094,Department of Regional Economic Expansion applications and costs,Government Operations & Ethics,0.0,,
2858104,Department of Justice employee salaries,Government Operations & Ethics,0.0,,
2858158,prosecution legal fees and disbursements,"Justice, Rights & Immigration",0.0,,
2858243,Air Canada strike conciliation board,Trade & Industry,0.0,,
2858252,penitentiary overcrowding,"Justice, Rights & Immigration",0.0,,
2858326,order in the house,Parliamentary Affairs,1.0,,
2858376,order paper management,Parliamentary Affairs,0.75,,
2858480,representation in public service and western alienation,Government Operations & Ethics,0.25,,
2858515,air transport committee hearing notice,Parliamentary Affairs,0.75,,
2858527,feed grain marketing policy,Agriculture & Natural Resources,0.5,,
2858564,propane export-import board decision,Trade & Industry,0.25,,
2858574,unemployment and manpower centre projects,Social Policy,0.25,,
2858653,International Grains Arrangement pricing,Trade & Industry,0.0,,
2858662,ministerial question period,Parliamentary Affairs,0.75,,
2858724,decorum in debate,Parliamentary Affairs,0.75,,
2858749,fisheries protection and departmental re-establishment,Agriculture & Natural Resources,0.0,,
2858813,continental shelf fishery resources,Agriculture & Natural Resources,0.25,,
2858863,continental shelf fisheries resources,Agriculture & Natural Resources,0.25,,
2858945,House of Commons legislation enactment,Parliamentary Affairs,0.5,,
2858958,Bell Canada income tax transfer to Quebec,Economic & Fiscal Policy,0.0,,
2858959,provincial taxation powers,Intergovernmental & Constitutional Affairs,0.0,,
2858966,national energy policy and oil pipeline construction,Agriculture & Natural Resources,0.0,,
2858999,federal-provincial relations,Intergovernmental & Constitutional Affairs,0.25,,
2859005,conflict of interest rules,Government Operations & Ethics,0.0,,
2859091,publication of Drury guidelines directives,Government Operations & Ethics,0.0,,
2859096,postal service deterioration and reform,Government Operations & Ethics,0.25,,
2859109,adjournment,Parliamentary Affairs,1.0,,
2859127,postal service efficiency and cost,Government Operations & Ethics,0.25,,
2859135,Canadian Post Office,Government Operations & Ethics,0.25,,
2859236,manpower training program employment statistics,Social Policy,0.0,,
2859237,tractor-trailer driving course funding,Social Policy,0.0,,
2859255,government computer services and costs,Government Operations & Ethics,0.0,,
2859274,publicity spending by National Health and Welfare,Government Operations & Ethics,0.0,,
2859295,Bank of Canada interest rate policy,Economic & Fiscal Policy,0.0,,
2859303,mortgage funds and housing starts,Social Policy,0.0,,
2859307,Bank of Canada monetary policy and inflation,Economic & Fiscal Policy,0.0,,
2859323,closure of Saint-Marc de Figuery Indian school,Indigenous & Northern Affairs,0.25,,
2859330,monetary policy,Economic & Fiscal Policy,0.0,,
2859342,unemployment insurance regulation,Social Policy,0.25,,
2859379,non-conventional energy research funding,Agriculture & Natural Resources,0.0,,
2859407,Olympic Games budget forecast,Government Operations & Ethics,0.0,,
2859427,Canadian contingent in Viet Nam,Foreign Affairs & Defence,0.0,,
2859467,National Housing Act preamble wording,Social Policy,0.5,,
2859469,procedural discussion,Parliamentary Affairs,1.0,,
2859473,amendments to National Housing Act supply bill,Parliamentary Affairs,0.75,,
2859479,procedural ruling on bill amendment,Parliamentary Affairs,0.75,,
2859537,National Housing Act mortgage terms,Social Policy,0.0,,
2859539,housing crisis and national housing policy,Social Policy,0.1,,
2859561,National Housing Act subamendment procedure,Parliamentary Affairs,0.75,,
2859583,question of privilege,Parliamentary Affairs,0.75,,
2859622,Opportunities for Youth funding,Social Policy,0.5,,
2859669,Ontario sales tax impact on commodity prices,Economic & Fiscal Policy,0.25,,
2859693,definition of full employment,Economic & Fiscal Policy,0.0,,
2859704,European workers for tobacco farming,Agriculture & Natural Resources,0.0,,
2859710,food price statistics,Economic & Fiscal Policy,0.25,,
2859762,Canada Assistance Plan and cost of living,Social Policy,0.0,,
2859814,obscenity law and Criminal Code,"Justice, Rights & Immigration",0.25,,
2859897,amendments to National Housing Act,Social Policy,0.25,,
2859900,National Housing Act amendments for Indians,Indigenous & Northern Affairs,0.25,,
2859905,point of order on enabling legislation,Parliamentary Affairs,0.5,,
2860005,housing finance mortgage arrangements,Economic & Fiscal Policy,0.25,,
2860014,bank credit expansion and interest rates,Economic & Fiscal Policy,0.0,,
2860016,National Energy Board decision-making on northern pipeline,Agriculture & Natural Resources,0.25,,
2860064,lawyers approved for government work in Quebec,Government Operations & Ethics,0.0,,
2860094,collection of student loans in arrears,Social Policy,0.0,,
2860110,adjournment motion on oil prices,Economic & Fiscal Policy,0.75,,
2860143,local initiatives program project extensions,Government Operations & Ethics,0.0,,
2860170,food aid and international development,Foreign Affairs & Defence,0.0,,
2860200,Morgentaler abortion bill confusion,"Justice, Rights & Immigration",0.25,,
2860206,racial injustice in Montreal,"Justice, Rights & Immigration",0.0,,
2860277,automobile sales and production,Trade & Industry,0.25,,
2860290,Atlantic provinces working parties reports,Intergovernmental & Constitutional Affairs,0.0,,
2860329,question of privilege procedure,Parliamentary Affairs,1.0,,
2860379,partisan attack on NDP and Liberal party,Parliamentary Affairs,0.75,,
2860390,partisan attack,Parliamentary Affairs,1.0,,
2860392,income tax concessions for corporations vs. social programs,Economic & Fiscal Policy,0.25,,
2860395,manufacturing and processing tax measures,Economic & Fiscal Policy,0.25,,
2860431,energy policy and supply security,Agriculture & Natural Resources,0.25,,
2860491,interest rates and mortgage market,Economic & Fiscal Policy,0.0,,
2860539,control of timber exports,Trade & Industry,0.25,,
2860567,prohibition writ for Mackenzie Valley land rights,Indigenous & Northern Affairs,0.0,,
2860697,CBC television service in northern communities,Government Operations & Ethics,0.0,,
2860726,incomes policy and regional unemployment,Economic & Fiscal Policy,0.1,,
2860732,anti-inflation policy and incomes policy,Economic & Fiscal Policy,0.0,,
2860801,minister's changing positions on taxes and pensions,Government Operations & Ethics,0.25,,
2860829,parliamentary procedure and debate,Parliamentary Affairs,0.75,,
2860881,inflation and rising taxes,Economic & Fiscal Policy,0.0,,
2860913,Conservative incomes policy and corporate profits,Economic & Fiscal Policy,0.25,,
2860915,excess profits tax on corporate income,Economic & Fiscal Policy,0.0,,
2860956,order of business,Parliamentary Affairs,0.75,,
2860961,adjournment motion on executive subversion of Federal Court,Parliamentary Affairs,0.75,,
2860998,housing policy and government statements,Social Policy,0.5,,
2861018,Combines Investigation Act petroleum industry practices,Trade & Industry,0.0,,
2861037,attack on Professor Kierans,Parliamentary Affairs,0.25,,
2861047,Air Canada strike contingency plans,Trade & Industry,0.0,,
2861054,collective bargaining dispute settlement,Trade & Industry,0.25,,
2861057,Air Canada Official Languages Act interpretation,Government Operations & Ethics,0.25,,
2861060,Air Canada labour dispute,Trade & Industry,0.0,,
2861076,emission control standards,Agriculture & Natural Resources,0.0,,
2861080,Toronto Terminal No. 2 plans,Government Operations & Ethics,0.25,,
2861129,petroleum industry investment in Atlantic Canada,Trade & Industry,0.0,,
2861139,day-care facilities for children,Social Policy,0.25,,
2861184,parliamentary democracy and standing orders,Parliamentary Affairs,0.5,,
2861250,old age security conflict of interest,Social Policy,0.25,,
2861278,CRTC educational programming regulations,Government Operations & Ethics,0.0,,
2861367,Local Initiatives Program applications,Government Operations & Ethics,0.25,,
2861425,Air Canada strike and shutdown,Trade & Industry,0.0,,
2861447,lowering pensionable age to 60,Social Policy,0.0,,
2861490,Centurion tank life extension,Foreign Affairs & Defence,0.0,,
2861539,automobile safety measures,"Justice, Rights & Immigration",0.0,,
2861546,freight rates equalization for western Canada,Agriculture & Natural Resources,0.0,,
2861551,international policy definition,Foreign Affairs & Defence,0.25,,
2861577,visit of Prime Minister of India,Foreign Affairs & Defence,0.75,,
2861596,reducing number of members in bill,Parliamentary Affairs,0.5,,
2861647,income tax amendments and inflation adjustment,Economic & Fiscal Policy,0.0,,
2861651,indexing of personal income tax,Economic & Fiscal Policy,0.0,,
2861801,western Canada development and tax sharing,Economic & Fiscal Policy,0.25,,
2861832,point of order regarding question period,Parliamentary Affairs,0.75,,
2861838,point of order on statements outside the house,Parliamentary Affairs,0.75,,
2861855,feed grain policy announcement,Agriculture & Natural Resources,0.25,,
2861867,writ of prohibition jurisdiction,"Justice, Rights & Immigration",0.0,,
2861909,transportation policy and branch line abandonment,Agriculture & Natural Resources,0.25,,
2861922,amendment to transportation policy on feed grains,Agriculture & Natural Resources,0.25,,
2861962,integrated national transportation policy,Agriculture & Natural Resources,0.0,,
2861976,transportation policy and infrastructure development,Agriculture & Natural Resources,0.0,,
2862007,question of privilege,Parliamentary Affairs,0.75,,
2862025,preferential tariffs and trade relations,Trade & Industry,0.25,,
2862069,aid policies for farmers,Agriculture & Natural Resources,0.5,,
2862112,LIP grant for Calgary Resource Centre,Social Policy,0.0,,
2862156,announcement of policy on western economic opportunities conference,Economic & Fiscal Policy,0.25,,
2862161,transportation policy review,Agriculture & Natural Resources,0.25,,
2862178,Crowsnest rate structure and transportation policy,Agriculture & Natural Resources,0.0,,
2862211,order of business,Parliamentary Affairs,1.0,,
2862243,consumer protection from climate influenced prices,Economic & Fiscal Policy,0.0,,
2862281,licensing of truck sufferance warehouses,Trade & Industry,0.25,,
2862284,Weather Modification Information Act proclamation,Agriculture & Natural Resources,0.0,,
2862299,fishermen's gear losses in Prince Edward Island,Agriculture & Natural Resources,0.0,,
2862310,Air Canada employee walkout,Trade & Industry,0.75,,
2862458,court jurisdiction,"Justice, Rights & Immigration",0.25,,
2862477,federal jurisdiction over indigenous lands,Indigenous & Northern Affairs,0.0,,
2862482,corporate tax rates and vehicle prices,Economic & Fiscal Policy,0.0,,
2862515,oil trans-shipment harbours in Lower St. Lawrence River,Agriculture & Natural Resources,0.0,,
2862516,intergovernmental consultations on policy,Intergovernmental & Constitutional Affairs,0.25,,
2862522,Canadian Wheat Board sales to India,Trade & Industry,0.0,,
2862538,disaster relief for Canadians,Social Policy,0.0,,
2862595,point of order on minister's conduct,Parliamentary Affairs,0.75,,
2862599,point of order and privilege,Parliamentary Affairs,1.0,,
2862603,self-government for Banff and Jasper,Indigenous & Northern Affairs,0.0,,
2862618,secretarial staff and office space for members,Parliamentary Affairs,0.25,,
2862628,questions of privilege,Parliamentary Affairs,0.75,,
2862658,Canadian Wheat Board marketing policy,Agriculture & Natural Resources,0.25,,
2862669,Canadian Wheat Board sales and marketing policy,Agriculture & Natural Resources,0.0,,
2862673,Canadian Wheat Board sales and payments,Agriculture & Natural Resources,0.0,,
2862769,two-price system for wheat,Agriculture & Natural Resources,0.0,,
2862781,wheat and grain price supports,Agriculture & Natural Resources,0.0,,
2862820,two-price system for grains,Agriculture & Natural Resources,0.25,,
2862837,Canadian Wheat Board sales and farm income support,Agriculture & Natural Resources,0.25,,
2862846,western grain sales,Agriculture & Natural Resources,0.25,,
2862873,selling western wheat,Agriculture & Natural Resources,0.25,,
2862957,Indian claims against the Crown federal,Indigenous & Northern Affairs,0.0,,
2863043,parole proceedings for murder convictions,"Justice, Rights & Immigration",0.0,,
2863156,immigration policy and bilingualism,"Justice, Rights & Immigration",0.25,,
2863167,clarification of immigration bill provisions,"Justice, Rights & Immigration",0.25,,
2863175,committee of the whole consideration of bill,Parliamentary Affairs,0.75,,
2863183,veterans pensions and escalation clause,Social Policy,0.25,,
2863192,increase in veterans pensions,Social Policy,0.0,,
2863226,referral of railway reports to committee,Parliamentary Affairs,0.5,,
2863250,parliamentary delegation from Australasia,Foreign Affairs & Defence,1.0,,
2863262,automated information monitoring service cost,Government Operations & Ethics,0.0,,
2863263,Information Canada project details,Government Operations & Ethics,0.5,,
2863293,capital punishment and murder rates,"Justice, Rights & Immigration",0.25,,
2863323,question period,Parliamentary Affairs,0.75,,
2863352,farm policy announcement timing,Agriculture & Natural Resources,0.0,,
2863404,regional economic expansion water development program,Economic & Fiscal Policy,0.0,,
2863410,day care policy,Social Policy,0.0,,
2863470,CBC presidential salary,Government Operations & Ethics,0.25,,
2863482,order of business on estimates,Parliamentary Affairs,0.75,,
2863529,motion to adjourn,Parliamentary Affairs,0.75,,
2863580,CBC budget and Conservative motion,Government Operations & Ethics,0.25,,
2863629,procedural objections to estimates,Parliamentary Affairs,0.75,,
2863805,Mirabel airport expropriations inquiry,Government Operations & Ethics,0.5,,
2863847,Kingston Penitentiary disturbances and investigation,"Justice, Rights & Immigration",0.0,,
2863958,ministerial preparation for energy policy announcement,Agriculture & Natural Resources,0.25,,
2863992,Union Jack flag placement,Parliamentary Affairs,0.5,,
2864009,Auditor General's report on Department of Industry,Government Operations & Ethics,0.0,,
2864025,federal land expropriation for airport,Government Operations & Ethics,0.0,,
2864061,piracy of teenage hockey players,"Justice, Rights & Immigration",0.25,,
2864064,Canadian Patents and Development Limited,Government Operations & Ethics,0.25,,
2864073,trilevel committee on policy,Parliamentary Affairs,0.25,,
2864078,national capital study,Government Operations & Ethics,0.25,,
2864094,"subsidy and loan guarantees for farmers, businessmen, fishermen",Agriculture & Natural Resources,0.0,,
2864149,tax reduction and international trade,Trade & Industry,0.25,,
2864192,objection to electoral district redistribution,Parliamentary Affairs,0.5,,
2864225,order of business,Parliamentary Affairs,1.0,,
2864276,Canadian Wheat Board marketing of grain,Agriculture & Natural Resources,0.25,,
2864303,supervision of farm poll,Agriculture & Natural Resources,0.0,,
2864315,gas export prices review,Agriculture & Natural Resources,0.0,,
2864336,National Energy Board appointments and western interests,Agriculture & Natural Resources,0.25,,
2864392,Helsinki conference agenda,Foreign Affairs & Defence,0.25,,
2864435,order of business,Parliamentary Affairs,0.75,,
2864506,fairness to hon. member,Parliamentary Affairs,0.75,,
2864534,energy policy and Mackenzie valley pipeline,Agriculture & Natural Resources,0.0,,
2864544,Montreal Olympic Games organization and priorities,Government Operations & Ethics,0.25,,
2864551,Olympic Games project study,Government Operations & Ethics,0.5,,
2864657,Canadian export market policy,Trade & Industry,0.0,,
2864675,ministerial statements and government policy,Government Operations & Ethics,0.75,,
2864686,Tembec incentive grant for Quebec jobs,Trade & Industry,0.0,,
2864707,soybean shipment review by US authorities,Trade & Industry,0.0,,
2864725,Bell application B and regulatory body,Government Operations & Ethics,0.25,,
2864792,protection for primary producers,Agriculture & Natural Resources,0.25,,
2864820,lottery sales and provincial participation,Economic & Fiscal Policy,0.0,,
2864824,amateur athletics and physical fitness funding,Social Policy,0.0,,
2864837,order of business,Parliamentary Affairs,0.75,,
2864846,financial value of the Montreal Olympics,Economic & Fiscal Policy,0.0,,
2864849,Olympics funding and amateur sport definition,Social Policy,0.25,,
2864882,appointments to boards and estimates process,Parliamentary Affairs,0.5,,
2864915,order of business,Parliamentary Affairs,1.0,,
2864959,feed costs and soybean meal supply,Agriculture & Natural Resources,0.0,,
2864964,rapeseed export policy,Trade & Industry,0.0,,
2865027,order of business,Parliamentary Affairs,1.0,,
2865056,senior citizens and Armed Forces,Social Policy,0.25,,
2865089,manufacturing and processing profits tax deduction,Economic & Fiscal Policy,0.75,,
2865097,corporate tax reduction and job creation,Economic & Fiscal Policy,0.25,,
2865133,manufacturing and processing profit definitions,Economic & Fiscal Policy,0.25,,
2865140,small business manufacturing and processing tax rate,Economic & Fiscal Policy,0.0,,
2865141,tax breaks for Canadian assembly,Economic & Fiscal Policy,0.0,,
2865144,definition of foreign active business,Economic & Fiscal Policy,0.0,,
2865155,supplementary question on tax reduction accounts,Economic & Fiscal Policy,0.25,,
2865182,formulae for labour costs,Economic & Fiscal Policy,0.0,,
2865247,annual cost of fixed capital,Economic & Fiscal Policy,0.0,,
2865250,job creation and economic performance,Economic & Fiscal Policy,0.0,,
2865264,private industry and employment,Economic & Fiscal Policy,0.0,,
2865276,impact of economic policy and budgets,Economic & Fiscal Policy,0.0,,
2865294,foreign corporations and tax benefits,Economic & Fiscal Policy,0.0,,
2865305,tax deduction for manufacturing and processing profits,Economic & Fiscal Policy,0.25,,
2865317,railway freight rates and demurrage charges,Trade & Industry,0.0,,
2865384,nuclear submersible vessels data gathering program,Foreign Affairs & Defence,0.0,,
2865393,public service appointments and merit,Government Operations & Ethics,0.0,,
2865394,multiculturalism in education and cultural exchange,Social Policy,0.0,,
2865396,Public Service Superannuation Account details,Social Policy,0.0,,
2865405,corporations not paying income taxes,Economic & Fiscal Policy,0.0,,
2865430,taxi service contract at Whitehorse,Government Operations & Ethics,0.0,,
2865443,invitation to tender for Arctic supplies,Trade & Industry,0.25,,
2865445,Department of National Defence contract,Foreign Affairs & Defence,0.0,,
2865455,Small Businesses Loans Act statistics,Economic & Fiscal Policy,0.0,,
2865472,contracts for consulting services,Government Operations & Ethics,0.25,,
2865502,mortgage interest rates and housing,Social Policy,0.0,,
2865518,regional economic development proposals,Economic & Fiscal Policy,0.0,,
2865521,northern Ontario development opportunities,Economic & Fiscal Policy,0.25,,
2865555,"fishermen, farmers, and small business loans",Economic & Fiscal Policy,0.0,,
2865570,release of captured servicemen,Foreign Affairs & Defence,0.0,,
2865609,Canada-US air agreement,Trade & Industry,0.0,,
2865621,British subjects' voting rights and citizenship,"Justice, Rights & Immigration",0.25,,
2865643,ship accident and damage reports,Foreign Affairs & Defence,0.0,,
2865662,lumber exports and domestic prices,Trade & Industry,0.0,,
2865669,coverage of Canadian football all star game,Trade & Industry,0.0,,
2865710,amendments to Income Tax Act,Economic & Fiscal Policy,0.25,,
2865717,amendment to tax review procedure,Economic & Fiscal Policy,0.25,,
2865792,debate on exemption levels,Economic & Fiscal Policy,0.5,,
2865794,ways and means resolution amendments,Parliamentary Affairs,0.75,,
2865854,tax discrimination against wives at home,Economic & Fiscal Policy,0.0,,
2865863,taxable income of non-residents earned in Canada,Economic & Fiscal Policy,0.0,,
2865880,housing starts and mortgage rates,Social Policy,0.25,,
2865902,soybean embargo and orderly grain marketing,Agriculture & Natural Resources,0.1,,
2865947,limitation of debate on election expenses bill,Parliamentary Affairs,0.75,,
2865948,bill passage before summer adjournment,Parliamentary Affairs,0.5,,
2866044,appeal to courts from decisions on Bill C-132,Parliamentary Affairs,0.0,,
2866086,revised fee structure for aviation,Trade & Industry,0.25,,
2866151,ways and means motion amendment,Parliamentary Affairs,0.75,,
2866154,income tax treatment of grain delivery tickets,Economic & Fiscal Policy,0.0,,
2866160,farmer income tax and grain movement,Economic & Fiscal Policy,0.0,,
2866171,income tax on grain delivery tickets,Economic & Fiscal Policy,0.0,,
2866178,Wheat Board and income tax amendment,Economic & Fiscal Policy,0.25,,
2866224,income tax deductions at source,Economic & Fiscal Policy,0.0,,
2866249,agricultural problems,Agriculture & Natural Resources,0.25,,
2866364,fund raising practices allegations,Government Operations & Ethics,0.0,,
2866434,federal role in provincial health care,Social Policy,0.25,,
2866480,lobster fishermen storm losses,Agriculture & Natural Resources,0.0,,
2866541,German proposal for polar icebreakers,Foreign Affairs & Defence,0.0,,
2866547,reflection on a vote,Parliamentary Affairs,1.0,,
2866557,House of Commons question period rules,Parliamentary Affairs,0.75,,
2866605,amend criminal code abortion provisions,"Justice, Rights & Immigration",0.0,,
2866609,Criminal Code abortion law amendment,"Justice, Rights & Immigration",0.1,,
2866615,apology for unparliamentary conduct,Parliamentary Affairs,0.75,,
2866647,airport grant conditions,Government Operations & Ethics,0.0,,
2866678,registration of motor vehicles on Indian reservations,Indigenous & Northern Affairs,0.0,,
2866681,Canadian Pension Commission backlog,Social Policy,0.0,,
2866696,Ugandan immigration and settlement,"Justice, Rights & Immigration",0.0,,
2866718,misuse of funds and embezzlement,Government Operations & Ethics,0.25,,
2866724,Canada's role in Vietnam War communication,Foreign Affairs & Defence,0.0,,
2866761,oil export hearings,Trade & Industry,0.25,,
2866773,green belt property for bus terminal,Government Operations & Ethics,0.25,,
2866774,National Capital Commission property lease,Government Operations & Ethics,0.0,,
2866887,Electoral Boundaries Readjustment Suspension,Parliamentary Affairs,0.5,,
2866903,Canadian merchant marine development,Trade & Industry,0.0,,
2866931,feed costs and oilseed production,Agriculture & Natural Resources,0.1,,
2866939,rising food production costs and export restrictions,Agriculture & Natural Resources,0.25,,
2866954,electoral boundaries act suspension,Parliamentary Affairs,0.25,,
2866972,Jericho Beach property disposal,Government Operations & Ethics,0.0,,
2866974,lowering pensionable age to 60,Social Policy,0.25,,
2866990,statements on recess timing,Parliamentary Affairs,0.75,,
2867034,personal and corporate tax cuts,Economic & Fiscal Policy,0.25,,
2867037,emergency meeting on halting inflation,Economic & Fiscal Policy,0.0,,
2867118,international commodity price increases,Economic & Fiscal Policy,0.0,,
2867153,farmers' costs and abandonment of eastern farms,Agriculture & Natural Resources,0.0,,
2867171,mortgage interest rates and inflation,Economic & Fiscal Policy,0.0,,
2867190,proposed airport landing fee increases,Economic & Fiscal Policy,0.0,,
2867204,electoral boundaries commission proposals,Parliamentary Affairs,0.5,,
2867220,redistribution of federal electoral districts,Parliamentary Affairs,0.25,,
2867264,use of government resources for political purposes,Government Operations & Ethics,0.25,,
2867292,fishermen's storm damage compensation,Agriculture & Natural Resources,0.25,,
2867402,unclear,Parliamentary Affairs,1.0,,
2867406,Canada Pension Plan investment fund by province,Social Policy,0.0,,
2867422,adjournment motion on housing policy,Social Policy,0.75,,
2867456,old age pension increase,Social Policy,0.25,,
2867489,credibility of a government board,Government Operations & Ethics,0.25,,
2867503,Food Prices Review Board recommendations,Economic & Fiscal Policy,0.25,,
2867617,invitations to civic events,Government Operations & Ethics,0.5,,
2867630,election expenses,Government Operations & Ethics,0.75,,
2867642,public involvement in election campaigns,Government Operations & Ethics,0.1,,
2867714,amendment to Railway Act for commuter train assistance,Trade & Industry,0.25,,
2867717,motion for urgent debate,Parliamentary Affairs,0.75,,
2867769,judicial inquiry into CMHC activities,Government Operations & Ethics,0.25,,
2867780,public inquiry into government action,Government Operations & Ethics,0.25,,
2867795,Minister of State for multiculturalism absence,Government Operations & Ethics,0.25,,
2867805,OFY program future,Social Policy,0.25,,
2867820,conflict of interest statement,Government Operations & Ethics,0.25,,
2867896,point of privilege,Parliamentary Affairs,0.75,,
2867973,Liberal party's historical actions and motives,Government Operations & Ethics,0.75,,
2868013,unanimous consent for Standing Order 43 motion,Parliamentary Affairs,0.75,,
2868021,ministerial absences and labour negotiations,Government Operations & Ethics,0.25,,
2868040,order of questions,Parliamentary Affairs,1.0,,
2868056,feed grain policy,Agriculture & Natural Resources,0.0,,
2868078,suicides at Prince Albert Penitentiary,"Justice, Rights & Immigration",0.0,,
2868132,ITT campaign fund allegations,Government Operations & Ethics,0.25,,
2868145,advisory committee public hearings,Government Operations & Ethics,0.25,,
2868215,Kingston penitentiary for women security program,"Justice, Rights & Immigration",0.0,,
2868235,sales tax exemptions for families and municipalities,Economic & Fiscal Policy,0.0,,
2868250,tax on children's clothing and consumer goods,Economic & Fiscal Policy,0.5,,
2868292,poultry transport containers and sales tax,Economic & Fiscal Policy,0.0,,
2868308,sales tax exemption for medical equipment,Economic & Fiscal Policy,0.0,,
2868312,sales tax exemption clause,Economic & Fiscal Policy,0.5,,
2868411,family allowances and child care,Social Policy,0.0,,
2868422,applications for government programs,Government Operations & Ethics,0.0,,
2868425,LIP grants in Peel-Dufferin-Simcoe,Social Policy,0.0,,
2868437,telephone installation charges and regulations,Trade & Industry,0.0,,
2868452,Federal Labour Intensive Project details,Social Policy,0.0,,
2868455,CBC and NFB program production costs,Government Operations & Ethics,0.0,,
2868457,public servants political activity,Government Operations & Ethics,0.0,,
2868458,DREE loan to Union Oil Company of Canada,Trade & Industry,0.0,,
2868478,grain production and prices by province,Agriculture & Natural Resources,0.0,,
2868479,overtime expenses of senior civil servants,Government Operations & Ethics,0.5,,
2868502,conciliation board report,Parliamentary Affairs,0.25,,
2868506,family allowance bill timing,Social Policy,0.25,,
2868524,agreement on legislation,Parliamentary Affairs,0.75,,
2868537,student co-operative housing projects,Social Policy,0.25,,
2868585,medical school admissions for foreign applicants,"Justice, Rights & Immigration",0.25,,
2868606,presentation of monitoring process report,Government Operations & Ethics,0.25,,
2868616,unclear,Parliamentary Affairs,0.75,,
2868626,regional economic policy,Economic & Fiscal Policy,0.25,,
2868677,parliamentary procedure and criticism of government programs,Parliamentary Affairs,0.75,,
2868698,Canadian Wheat Board feed grains policy,Agriculture & Natural Resources,0.0,,
2868703,national feed grains policy,Agriculture & Natural Resources,0.25,,
2868724,feed grain prices and Wheat Board,Agriculture & Natural Resources,0.25,,
2868738,feed grain policy and transportation rates,Agriculture & Natural Resources,0.25,,
2868774,conflicts of interest for members of parliament,Government Operations & Ethics,0.25,,
2868806,Newfoundland economic opportunities conference,Economic & Fiscal Policy,0.0,,
2868813,unemployment rate figures,Economic & Fiscal Policy,0.0,,
2868859,transcripts of prime minister's tapes,Government Operations & Ethics,0.25,,
2868940,CMHC misleading information and cover-up,Government Operations & Ethics,0.5,,
2868950,regional offices announcement,Government Operations & Ethics,0.5,,
2868976,selective tariff cuts and overall tariff reduction,Trade & Industry,0.25,,
2869023,tariffs on frozen foods,Trade & Industry,0.25,,
2869035,proving harm from tariff reduction,Trade & Industry,0.25,,
2869067,duty reduction on power lawn mower parts,Trade & Industry,0.0,,
2869082,duty sensitivity in agriculture,Trade & Industry,0.0,,
2869096,Post Office Department efficiency and service,Government Operations & Ethics,0.25,,
2869099,Air Canada strike prosecution request,Parliamentary Affairs,0.25,,
2869114,conflict of interest guidelines for ministers,Government Operations & Ethics,0.0,,
2869156,gas price discounts,Economic & Fiscal Policy,0.5,,
2869175,Corporations and Labour Unions Returns Act administration expenditures and employment,Government Operations & Ethics,0.0,,
2869194,National Energy Board staff training,Agriculture & Natural Resources,0.25,,
2869204,escaped inmates and parole failures,"Justice, Rights & Immigration",0.0,,
2869271,Canada-US energy and trade co-operation,Trade & Industry,0.25,,
2869343,unclear,Parliamentary Affairs,0.5,,
2869355,international inflation and G20 meeting,Economic & Fiscal Policy,0.0,,
2869369,farmer cash advance defaults,Agriculture & Natural Resources,0.0,,
2869465,electoral boundaries readjustment time limits,Parliamentary Affairs,0.25,,
2869483,Quebec representation in federal elections,Intergovernmental & Constitutional Affairs,0.25,,
2869510,motion on Alaskan oil movement,Agriculture & Natural Resources,0.75,,
2869531,referral of misleading statements to privileges committee,Parliamentary Affairs,0.5,,
2869569,ministerial communication with US counterparts,Foreign Affairs & Defence,0.25,,
2869579,Leader of the Opposition remarks,Parliamentary Affairs,0.75,,
2869671,temporary export controls on food,Trade & Industry,0.0,,
2869677,family allowances cheques,Social Policy,0.0,,
2869684,railway labour dispute,Trade & Industry,0.0,,
2869702,Canada Development Corporation headquarters location,Government Operations & Ethics,0.0,,
2869730,government's legislative plans,Parliamentary Affairs,0.75,,
2869812,adjournment motion,Parliamentary Affairs,1.0,,
2869838,amendments to bill,Parliamentary Affairs,0.25,,
2870029,release of Canadian citizen Michael Chappel from Cuba,Foreign Affairs & Defence,0.0,,
2870070,immigration cases affected by court decisions,"Justice, Rights & Immigration",0.0,,
2870073,Immigration Act and regulations,"Justice, Rights & Immigration",0.25,,
