What is to be gained by passing a resolution of this kind? There are no practical

questions out of which this proposal has arisen. All that can result is discussion and controversy from one end of Canada to the other on the question of loyalty to Canada's relationship to the empire and things of that kind. Here we are assembled with extremely grave and important questions of a practical nature confronting us. I referred to them a moment ago-our taxation, our railways, our economic difficulties, the tariff, if you will, and so on. What is to be gained by this resolution, beyond some political effect in some parts of Canada, an effect which may carry with it the arousing of feelings of prejudice and the expression of likes or dislikes in different sections of the country?
I believe this resolution should be refused by the House. If the government are serious in announcing their intention to bring down legislation calling upon the provinces to consider the matter of the amendment of our constitution; if it is not merely a political intention, then when they bring down that legislation I hope they will be able to submit something of a substantial character in the way of a demand from some section of the country for such a change in our constitution as is proposed. For my part I cannot but believe that the problem is fraught with too grave difficulties. The history of the development of our constitution is such that the man of business should hesitate at this juncture, having regard to the conditions in the world generally. I heard Mr. Ewart give a most interesting discussion of conditions among the countries of Europe and an outline of how the nations of the world had been chopped up as a result of the war, how the elements of conflagration exist in many parts of Europe. With all these national and international questions of a practical nature awaiting solution, why should this House occupy its time in the discussion of such a resolution as my hon. friend proposes?

",Conservative (1867-1942),,Leon Johnson Ladner,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=a5878456-2673-465c-9534-72a6e7428cb7&Language=E&Section=ALL
726372,ca.proc.d.1925-02-19.17.1.120,1925-02-19,f0d1049a-4acc-4789-a93f-b3bceae69e3f,ca.m.8624,Mr. WILLIAM IRVINE (East Calgary):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Mr. Speaker, the question before the House in undoubtedly one of very great interest. Though I have given it some consideration and have some opinions upon it, I refrain from giving those opinions now for the simple reason that I have been assured, and I think rightly, that this parliament has no power to do what I or anybody else might think it well to do in regard to our constitution. We have been assured by the authorities on constitutional law-and I think this is the attitude they take so far as they have spoken in this House -that the British North America Act is a sacred compact and that it cannot be altered

B.N.A. Act Amendment
by this parliament alone; that if an alteration is to be made all the parties to the pact must first be consulted and their consent to the change obtained.
In the Speech from the Throne there is an announcement that a conference is to be held at which representatives of all the different parties to the compact known as the British North America Act are to meet. It has been suggested by the hon. Minister of Justice (Mr. Lapointe) that the issue involved in this resolution would be a proper question for that conference to consider. In view, therefore, of these considerations, I move, seconded by the hon. member for West Edmonton (Mr. Kennedy):
That the following words be inserted after the word "" minorities "" in the second .paragraph of the resolution: "" and that, before further action be taken on the proposed resolution, the same be referred to the conference proposed in the Speech from the Throne for consideration and recommendation.''

",Labour,,William Irvine,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=f0d1049a-4acc-4789-a93f-b3bceae69e3f&Language=E&Section=ALL
726373,ca.proc.d.1925-02-19.17.1.121,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. HERBERT MARLER (St. Lawrence-St. George):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Mr. Speaker, at the commencement of this discussion I had no intention of taking part in it, but several matters have come up in the course of the remarks of hon. members, particularly as regards the province of Quebec, and it seems to me that one should have these matters well in mind before even suggesting that the resolution now before the House should be submitted to a conference as is proposed.
It seems to me that those who have discussed this resolution particularly some hon. members from this side of the House, have utterly failed to remember what were the circumstances of history and what were the facts which led up to the British North America Act of 1867. While perhaps many hon. members in this House may recall to mind those facts, I do not think it would be very much amiss if I, in the very few minutes I propose to take part in this discussion, should ask particularly those gentlemen from the province of Quebec to bear those facts in mind, because they are very salient indeed, and are very germane to this resolution we are discussing to-day, indeed, very germane to any question of conferences which might take place in the future apropos of any amendments to the British North America Act.
What are those historical facts leading up to the enactment of the British North America Act? Our first constitution in this country was the Quebec Act of 1774; I am speaking from memory as regards dates. That act took in, as I am very well aware, a great stretch of country running westward almost to the Missouri river. The limits of that
21i
country were changed by the treaty of Versailles in 1783, which made the westerly limits of what was then the province of Quebec the Great Lakes. After that we come down to the Constitutional Act of 1791, which divided the two provinces of Canada into Upper and Lower Canada. That act ran its course. Various matters came up in the administration of this country, ideas were engendered between the two races, and the culmination of this act of 1791 was the fight for responsible government in 1837. That was the result of the Constitutional Act of 1791.
Then we come down to the Act of Union in 1841, which brought the provinces of Upper and Lower Canada into one province, as the result of the Durham report. There again we found all kinds of difficulties brought up and ideas engendered between the races, ideas of religion, ideas of representation by population, and half a hundred other questions, until finally responsible government absolutely broke down. The suspicions engendered between the provinces and between the races under the Act of Union of 1841 were such as to render it utterly impossible for this country to proceed in any normal sense of the word with government at all. Out of all those difficulties that took place issued the Quebec resolutions. Those same difficulties took place in the Maritimes also. There also they decided they wanted a union, and the conference at Charlottetown took place, to which conference certain delegates went from Canada, and those delegates subsequently joined together at the Quebec conference, and it was from the Quebec conference that the Act of Confederation of 1867 was brought about,
Coming as I do from the province of Quebec I would like my hon. friends from that province to bear in mind these historical facts which brought about our Confederation Act. I would like them to bear in mind also the various difficulties and the various safeguards that were provided as regards our own province of Quebec. That is an extremely important matter for them to remember. I am of the province of Quebec. I live there with my French-Canadian compatriots in peace and harmony, and I say this; there is nothing so far as I can see in the British North America Act that can be changed to assist us in the very least in the province of Quebec in particular, to say nothing of the rest of Canada.
I listened with a great deal of pleasure this afternoon to the speech of my hon. friend from Marquette (Mr. Crerar). He stated' among other matters that we should have the right to fix our own constitution. I assume he meant by that the fixing of our
B.N.A. Act Amendment

constitution for interior matters only; he could have meant nothing else at all. We cannot fix our constitution for exterior matters in any respect, but as regards exterior matters I will speak in a moment. I would ask in what way, and with what advantage, can we change the act at present in force? Where will any province be assisted? You can imagine how a province might be injured in many ways. You can well imagine in the event of a conference taking place, and in the event of various opinions coming forth at that conference, that matters might happen in such a way as to reopen very many of these selfsame questions that came up at the Quebec conference, and which were settled by compromise at the Quebec conference itself, and as a result of which the British North America Act came forth. I repeat, what advantage is to be gained by any province by trying to give ourselves here in this parliament the right to change the act which was the result of compromises of a most severe nature, compromises which were the result also of events which took place and which led up to that conference, events of a most serious and foretelling nature.
My hon. friend from Marquette in his very masterly way also said that it was vital for the development of this nation that we should have the power to amend our constitution. I fail to see how this nation can be developed in the slightest degree by amending from the interior our own constitution. As a matter of fact, this nation was built up under that very constitution. That constitution has been the very cornerstone of all the rights of the various provinces within the nation. Nothing can be added to the rights of the provinces by amending that constitution, but something may be taken away. What assistance, what increment can be given to the provinces? No one in this House will venture for one moment to suggest that anything can be given to a single province by undertaking, ourselves, from the interior, to amend our constitution ; but on the other hand we can very easily imagine that some particular province will have some particular right taken away from it, providing the majority on the other side so desire. Where, therefore, is the gain in so far as the vital development of our nation is concerned by our having the right to amend our own constitution?

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726374,ca.proc.d.1925-02-19.17.1.122,1925-02-19,828a7305-5a12-40b7-bb79-2d08e116ab9d,ca.m.1275,Mr. GOOD:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Would my hon. friend contend that no province is at all interested in the reform of the Senate?

",Independent Progressive,,William Charles Good,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=828a7305-5a12-40b7-bb79-2d08e116ab9d&Language=E&Section=ALL
726375,ca.proc.d.1925-02-19.17.1.123,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"No, I do not contend that at all. What I do contend is this, that perhaps the reform of the Senate is a very

minor item compared with what might happen by throwing into the melting pot again the British North America Act. By deciding to submit to conferences and to the rule of the majority results might happen which would be far more serious to any province than having the Senate go forward in its present way.

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726376,ca.proc.d.1925-02-19.17.1.124,1925-02-19,828a7305-5a12-40b7-bb79-2d08e116ab9d,ca.m.1275,Mr. GOOD:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Can we not trust ourselves?

",Independent Progressive,,William Charles Good,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=828a7305-5a12-40b7-bb79-2d08e116ab9d&Language=E&Section=ALL
726377,ca.proc.d.1925-02-19.17.1.125,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Can no constitution anywhere be thrown into the melting pot? Must all constitutions remain fixed for all time?

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726378,ca.proc.d.1925-02-19.17.1.126,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Certainly they are not fixed for all time; there is no question about that at all, but I fail to see anything that has been brought up in the course of this debate, outside perhaps of what my hon. friend for Brant (Mr. Good) has said, and which may be a source of discussion, I freely admit-I fail to see one single point that any member has brought up that would show we were suffering any injury as a whole by reason of the British North America Act. On the other hand, I do say that a province may suffer grave injustice and grave injury at the hands of the majority in the event of the British North America Act being reopened.
Then my hon. friend from Marquette spoke about the pride of national spirit. Well, I cannot understand how the right to amend the British North America Act will in any way assist in strengthening the pride in national spirit.
Another question which has been brought up in the course of this debate is whether we are or are not a nation. We are a nation for interior purposes. We might as well make up our minds immediately that we are not a nation for exterior purposes. If we are a nation for exterior purposes we have to make up our minds to undertake the responsibilities which that status involves; and if we want to call ourselves a nation, both from an interior point of view and an exterior point of view, we have not only got to provide for defence from the interior viewpoint but undertake an active part in offence from the exterior viewpoint. Are we prepared to do that? I do not think we are at the present time.
Then there were the various points my hon. friend the member for Lotbiniere (Mr. Vien) brought up in his remarks as to whether the high commissioner should 'be representative in this way or representative in that way, or whether we should be represented by an ambassador. Of what advantage would this be to us? Are we not better employed in

B.N.A. Act Amendment
minding our own business in this country, in building up this Dominion as it should be built up, and in making Canada as strong a nation interiorly as we can make it? Are we not assisting the British Empire infinitely better by, as I say, building up this country in an interior way instead of trying to dissipate our energies by interesting ourselves in various matters abroad? The time has not come, as far as I can gauge it for us to take an active and energetic interest in foreign affairs relating to the empire. Those foreign affairs at the present time, as a matter of fact, are in good hands; but for us to say that we desire to be consulted here, or we desire to be consulted there, and at the same time come forward and say "" No we will not bear the responsibilities in certain ways "" is simply a series of contradictions.	*
I want to repeat again what I said in the first place. As regards the events which led up to the British North America Act those events were historical, those events were drenched in blood, those events were matters of compromise of the most serious nature. I for one see nothing but difficulties ahead of us if we take it upon ourselves by conference, by act of parliament or otherwise, to attempt to change those various matters which were brought about, which took place, and which were settled by those very particular compromises. I can see no advantage to be gained but I can see disadvantages may come to certain provinces und'er certain conditions. I therefore conclude, Mr. Speaker, by saying that not only do I intend to vote against the resolution, but I also disapprove of submitting a resolution of this kind to a conference with the object in view of changing the British North America Act.

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726379,ca.proc.d.1925-02-19.17.1.127,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. ANDREW McMASTER (Brome):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Mr. Speaker, I know that the apostles of things as they are and the disciples of subordination do not all belong to one side of the chamber. I trust that the distribution is uneven; I am sorry to see that it exists.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726380,ca.proc.d.1925-02-19.17.1.128,1925-02-19,1267c565-8771-4162-a16e-56bf229c71fa,ca.m.1842,Mr. JACOBS:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"They belong to one side
of the chamber but they sit on different sides.

",Liberal,,Samuel William Jacobs,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=1267c565-8771-4162-a16e-56bf229c71fa&Language=E&Section=ALL
726381,ca.proc.d.1925-02-19.17.1.129,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I have listened with a
great deal of interest to this debate in which, I may say, I had not thought I would have the privilege of taking part, but there have been some arguments advanced this afternoon to which I will endeavour to very briefly reply. I must congratulate the hon. member for St. George-St. Lawrence (Mr. Marler).

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726382,ca.proc.d.1925-02-19.17.1.130,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"You have reversed the
order.

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726383,ca.proc.d.1925-02-19.17.1.131,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I was following the
alphabetical order, but I apologize if I made a mistake.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726384,ca.proc.d.1925-02-19.17.1.132,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"""St. Lawrence"" is the
more important saint.

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726385,ca.proc.d.1925-02-19.17.1.133,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I think a ""St. Lawrence"" did not belong to the British Empire but ""St. George"" did. Is it loyal to prefer St. Lawrence to St. George? I have listened with some attention to what the hon. gentleman has said and I congratulate him upon his historical knowledge. But the impression made upon my mind is this, that from 1774 to 1867 we required no less than four different constitutions. Those constitutions were made for Canada, and every one except the last proved unsatisfactory. It was only when the Canadian people got together, representatives of the Maritime provinces and of the old provinces of Upper Canada and Lower Canada which then formed a United Canada -when these men got together and drafted their own constitution and had that constitution ratified by the British parliament, it was only then and not till then that we got a fairly satisfactory constitution which has remained largely unchanged for some sixty years.
May I point out a matter which I think is of some considerable interest in connection with this question. When our delegates went over to Great Britain they had, I will not say the assistance, the co-operation of British law officers in preparing different drafts of the British North America Act; and if one will read these different drafts side by side one will see some very striking dissimilarities. The British law officers said that it was in the interest of Great Britain to join the colonies of Nova Scotia, New Brunswick and Canada, but that there should be a united ""colony"". That was the proposition in the draft of the British law officers. They used the word ""colony"" and they stressed the idea that the proposed union would be in the interest of the United Kingdom. The proposition in the draft of the delegates was that the provinces should not be united into one ""colony"". The idea of Sir John A. Macdonald was, and he belonged to the school of Tories which the hon. member for South York belongs to-

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726386,ca.proc.d.1925-02-19.17.1.134,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Was Sir John
up-to-date?

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726387,ca.proc.d.1925-02-19.17.1.135,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"The gentleman who has led this important discussion belongs to the school of Toryism of that day. I think they called themselves Liberal-Conservatives. That is what Sir John Macdonald called himself, a Liberal-Conservative; and of the members
B.N.A. Act Amendment

of that party some are rather more liberal, others rather more conservative. The gentleman who has led this debate belongs to the more liberal wing of the Liberal-Conservative party. But the point that I want to make is that Sir John Macdonald suggested that we should be united not in one ""colony"" but in one ""kingdom"". That is the word he wished to adopt. The word ""kingdom"" denoted an idea not of subordination but of equality, and that is the only basis upon which I was going to say-I had almost used the expression which the rigfht hon. leader of the opposition often uses ""red blooded Canadians""-it is the only status that self-respecting Canadians will enjoy.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726388,ca.proc.d.1925-02-19.17.1.136,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Does the hon. member
think the word ""dominion"" has any more *uggestion of subordination than the word 'kingdom""?

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726389,ca.proc.d.1925-02-19.17.1.137,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I was speaking of the
fact that the choice of the word ""kingdom"" has a very interesting historical association. I would not say that the word ""dominion"" had any greater tincture of subordination than the word ""kingdom""; but as we have the ""United Kingdom of Great Britain"" the adoption of the word ""kingdom"" would have seemed to put the idea of subordination perhaps more completely out of peoples minds than did the word ""dominion."" But it was thought by the British authorities of that time that the word ""kingdom"" might possibly offend the republican sensibilities of our neighbours to the south; at least that was the statement given out at the time. And they looked around for another word. Sir Leonard Tilley was reading the Psalms of David one day, and he came to the psalm where it says:
And thy dominion shall stretch from sea to sea.
""Oil"" he said, ""that is the word for us."" And that was picked out as the word for our country, from the Psalms of David, which will have the approval of the member for George Etienne Cartier (Mr. Jacobs). I will endeavour to follow the argument of the previous speaker. His argument is against any change, and not only against any change, but against the possibility of any change, because he is afraid that difficulties may arise if a change is even suggested or discussed. He was asked I think by the hon. member for Brant (Mr. Good) ""Do you regard the British North America Act as something which must always exist in its present condition?"" And his answer was no. I was a little surprised at that negative, but that is what he stated. He said ""The British North America Act is not like the law of the Medes and Persians. It is possible to amend it.""

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726390,ca.proc.d.1925-02-19.17.1.138,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I said that it was not
well to interfere with the British North America Act until the absolute necessity for it arose. That is what I intended to convey, and I do not think the absolute necessity exists at the present time.
Mr. MoMASTER:	That is not quite what
the hon. gentleman said when he was making his speech, but it seems to me that is a more reasonable position to 'assume. But I may reply to that in this way. If the British North America Act is susceptible of amendment under certain circumstances, which some of us may think have arisen now, and which some of us think have not arisen yet, if it is potentially amendable-I think that is the way to put it-then who should amend it? Ourselves or someone else? That is the question. There may be possible arguments of convenience about having it amended by an outside legislature who would merely ratify the agreement to which we might come. There may be some possible advantage by way of the facility with which it might be done, but I do not think that it would be wise to adopt that method, in view of the depreciation of national status which such a course would imply.

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726391,ca.proc.d.1925-02-19.17.1.139,1925-02-19,d532de86-ad09-46e3-a8c4-9e590cdd3f60,ca.m.6929,Mr. MARLER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Would the hon. member
define our national status?

",Liberal,,Herbert Meredith Marler,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d532de86-ad09-46e3-a8c4-9e590cdd3f60&Language=E&Section=ALL
726392,ca.proc.d.1925-02-19.17.1.140,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I will take that up in
a moment. I will endeavour to treat with our national status both external and internal just in a moment. If our British North America Act may have to be amended in future, then it seems to me we should be able to do it ourselves. I do not think that this parliament, the House of Commons, the Senate and the .Governor General should have the right, without references to the provinces, to change our constitution. I do not agree to that. I think it should be amended in this fashion; that after the conference in which the provinces would take their part, an agreement should be arrived at-I trust it would be arrived at-whereby we might lay down the conditions under which and the machinery by which the constitution should be amended.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726393,ca.proc.d.1925-02-19.17.1.141,1925-02-19,06cf61a5-7c95-4155-ab94-d0d4156924b9,ca.m.931,Mr. MACLEAN (York):,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Who would call
that conference?

",Independent Conservative,,William Findlay Maclean,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=06cf61a5-7c95-4155-ab94-d0d4156924b9&Language=E&Section=ALL
726394,ca.proc.d.1925-02-19.17.1.142,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"I think it would be quite proper to have it called by the Prime Minister of this country. I think he would be the fit and proper person to call that conference. As a matter of fact he proposes to call a conference for one specific object, and other similar objects which phrase has been inter-

B.N.A. Act Amendment
preted by the Minister of Justice (Mr. Lapointe)-who no doubt is the legal interpreter of what the government has in its mind-to include such a subject as we have under discussion this afternoon.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726395,ca.proc.d.1925-02-19.17.1.143,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"What protection would
the minorities have? Would they not have to trust to the fairness of the majorities?

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726396,ca.proc.d.1925-02-19.17.1.144,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Yes, if the minorities in Canada cannot trust their Canadian fellow-citizens, whom can they trust? We should not have any craven fears of any injustice being done in this country in that regard. The more we take that view I think the better for the whole people.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726397,ca.proc.d.1925-02-19.17.1.145,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"Who would decide whom the minorities must trust? The minorities themselves or whom?

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726398,ca.proc.d.1925-02-19.17.1.146,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"The minorities themselves-

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726399,ca.proc.d.1925-02-19.17.1.147,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"How would a provincial
conference accomplish that? There are minorities in the different provinces.

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
726400,ca.proc.d.1925-02-19.17.1.148,1925-02-19,deaf5a4f-d8a1-49b8-a81b-f90eeaf06463,ca.m.9018,Mr. McMASTER:,,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"There are minorities
even in the small provinces. There may be certain minorities in Prince Edward Island.

",Liberal,,Andrew Ross McMaster,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=deaf5a4f-d8a1-49b8-a81b-f90eeaf06463&Language=E&Section=ALL
726401,ca.proc.d.1925-02-19.17.1.149,1925-02-19,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,BRITISH NORTH AMERICA ACT,PROPOSED CHANGE IN METHOD OF MAKING AMENDMENTS,,"There may be minorities in a province and vast majorities.

