basepk,topic,category
649652,Hudson Bay navigation conditions,Transportation and Communications
645743,parliamentary debate decorum,Government and Parliamentary Affairs
649565,appointment of Ste. Anne de la Pocatiere experimental farm staff,Agriculture and Food Policy
649685,completion of the Hudson Bay Railway,Transportation and Communications
649585,appointment of Talbot to Canadian National Railways board,Transportation and Communications
649636,Hudson Bay Railway construction feasibility,Transportation and Communications
649668,feasibility of the Hudson Bay Railway route,Transportation and Communications
649626,completion of the Hudson Bay Railway,Transportation and Communications
645719,Criminal Code amendment regarding race-track betting,"Justice, Constitution, and Indigenous Affairs"
649700,Hudson Bay Railway construction and maintenance,Transportation and Communications
649635,completion of the Hudson Bay Railway,Transportation and Communications
649640,Hudson Bay ice navigation conditions,Transportation and Communications
649656,feasibility of the Hudson Bay shipping route,Transportation and Communications
649705,completion of the Hudson Bay Railway,Transportation and Communications
649708,completion of the Hudson Bay Railway,Transportation and Communications
645728,prohibition of race-track betting,"Justice, Constitution, and Indigenous Affairs"
645754,abolition of race-track betting privileges,"Justice, Constitution, and Indigenous Affairs"
649707,completion of the Hudson Bay Railway,Transportation and Communications
649562,Morinville postmastership appointment,Government and Parliamentary Affairs
649658,completion of the Hudson Bay Railway,Transportation and Communications
645721,criminal code amendment regarding race-track betting,"Justice, Constitution, and Indigenous Affairs"
649568,government waste paper disposal contracts,Government and Parliamentary Affairs
649694,enlargement of the Welland canal,Transportation and Communications
649617,completion of the Hudson Bay Railway,Transportation and Communications
649672,completion of the Hudson Bay Railway,Transportation and Communications
649666,Hudson Bay navigation safety risks,Transportation and Communications
645724,criminal code amendments regarding race-track betting,"Justice, Constitution, and Indigenous Affairs"
649677,transportation of Alberta coal to Ontario,Transportation and Communications
649689,drainage and reclamation of agricultural land,Agriculture and Food Policy
649733,appointment of a minister of railways,Government and Parliamentary Affairs
649709,construction of the Hudson Bay Railway,Transportation and Communications
649814,western Canada land settlement and colonization,Agriculture and Food Policy
649740,missing Hansard pages,Government and Parliamentary Affairs
649774,emigration of Canadians to the United States,"Justice, Constitution, and Indigenous Affairs"
649796,recruitment and settlement of immigrants,"Justice, Constitution, and Indigenous Affairs"
649613,completion of the Hudson Bay Railway,Transportation and Communications
649842,settlement of immigrants on western lands,Agriculture and Food Policy
649776,agricultural land settlement in Quebec,Agriculture and Food Policy
649696,Hudson Bay Railway construction and port selection,Transportation and Communications
649794,Civil Service Commission immigration staffing delays,Government and Parliamentary Affairs
649739,missing pages in Hansard records,Government and Parliamentary Affairs
649840,Canada Colonization Company land settlement operations,Agriculture and Food Policy
649805,western Canadian agricultural settlement patterns,Agriculture and Food Policy
649843,soldier settlement land fraud protection,Veterans' and Military Affairs
649832,settlement of immigrants on agricultural land,Agriculture and Food Policy
649809,western Canada land settlement and credit terms,Agriculture and Food Policy
649841,government supervision of immigrant land purchases,Agriculture and Food Policy
649845,government oversight of immigrant land settlement,Agriculture and Food Policy
649902,immigration policy improvement,"Justice, Constitution, and Indigenous Affairs"
649772,immigration and settlement policy,"Justice, Constitution, and Indigenous Affairs"
649889,immigration of agricultural settlers to Canada,Agriculture and Food Policy
649923,immigration policy for British Columbia industries,"Justice, Constitution, and Indigenous Affairs"
649957,western Canada land settlement schemes,Agriculture and Food Policy
649911,recruitment of retired Indian army officers,Veterans' and Military Affairs
649909,recruitment of european immigrants to canada,"Justice, Constitution, and Indigenous Affairs"
650013,immigration recruitment and steamship subsidies,"Justice, Constitution, and Indigenous Affairs"
649901,agricultural economic crisis,Agriculture and Food Policy
649873,emigration of Canadians to the United States,"Justice, Constitution, and Indigenous Affairs"
649844,land purchase advice by government supervisors,Agriculture and Food Policy
649941,assisted immigration for farm labourers and families,"Justice, Constitution, and Indigenous Affairs"
649930,administration of provincial and federal crown lands,Natural Resources and Intergovernmental Relations
650036,emigration from Canada to the United States,"Justice, Constitution, and Indigenous Affairs"
649925,cooperation on provincial immigration schemes,Natural Resources and Intergovernmental Relations
649924,provincial labour demand and immigration cooperation,Social Welfare and Labour
649929,government promotion of prairie settlement,Agriculture and Food Policy
649907,recruitment of european settlers to Canada,"Justice, Constitution, and Indigenous Affairs"
650034,post-war emigration and immigration trends,"Justice, Constitution, and Indigenous Affairs"
649949,immigrant settlement and labor selection policy,Social Welfare and Labour
649868,Soldier Settlement Board and agricultural immigration,Veterans' and Military Affairs
650002,Western Canada Colonization Association land settlement schemes,Agriculture and Food Policy
649953,Canada Colonization Company land settlement scheme,Agriculture and Food Policy
650024,United States agricultural tariff barriers,International Trade and Tariffs
649958,immigration advertising expenditure inaccuracies,Government and Parliamentary Affairs
650053,western canada land speculation and immigration,Agriculture and Food Policy
650022,settlement of western canadian lands,Agriculture and Food Policy
649934,federal and provincial immigration and settlement policies,Natural Resources and Intergovernmental Relations
649951,immigration settlement and agricultural policy,Agriculture and Food Policy
650028,emigration and international trade tariffs,International Trade and Tariffs
650038,prairie grain handling and shipping rates,Transportation and Communications
649959,immigration advertising expenditure in Great Britain,Government and Parliamentary Affairs
649926,immigration and land settlement in British Columbia,"Justice, Constitution, and Indigenous Affairs"
650072,national immigration policy and funding,"Justice, Constitution, and Indigenous Affairs"
650042,protectionist trade policy and tariffs,International Trade and Tariffs
649955,immigration settlement of western Canadian land,Agriculture and Food Policy
650044,immigration and settlement policy,"Justice, Constitution, and Indigenous Affairs"
650068,impact of tariff protection on canadian population,International Trade and Tariffs
649933,federal immigration policy in Ontario,"Justice, Constitution, and Indigenous Affairs"
650045,restrictive immigration policy and repatriation of Canadians,"Justice, Constitution, and Indigenous Affairs"
650155,immigration policy and settlement,"Justice, Constitution, and Indigenous Affairs"
649764,agricultural immigration and settler recruitment,Agriculture and Food Policy
650095,economic impact of immigration,Social Welfare and Labour
649798,federal government immigration policy for western Canada,"Justice, Constitution, and Indigenous Affairs"
650084,federal deficit and national debt,Public Finance and Taxation
650137,immigration of European settlers for agricultural land,Agriculture and Food Policy
650059,western land speculation and absentee land ownership,Agriculture and Food Policy
650089,economic impact of immigration,Social Welfare and Labour
650082,federal taxation levels and railway funding,Public Finance and Taxation
650097,national immigration policy,"Justice, Constitution, and Indigenous Affairs"
650125,labour shortages and unemployment conditions,Social Welfare and Labour
650093,immigration and development of natural resources,Natural Resources and Intergovernmental Relations
650050,assimilation of immigrants and labour requirements,Social Welfare and Labour
650127,regional labour market and unemployment conditions,Social Welfare and Labour
650128,unemployment in Winnipeg,Social Welfare and Labour
650074,increased immigration for economic development,"Justice, Constitution, and Indigenous Affairs"
650129,immigration policy and rural settlement,Agriculture and Food Policy
650061,impact of fiscal policy and tariffs,Public Finance and Taxation
645159,veteran pension adjudication processes,Veterans' and Military Affairs
650113,canadian immigration policy and settler recruitment,"Justice, Constitution, and Indigenous Affairs"
650141,British immigration and Empire settlement scheme,"Justice, Constitution, and Indigenous Affairs"
650148,railway freight rates and agricultural economic conditions,Transportation and Communications
650213,provincial highway construction costs and routes,Transportation and Communications
650190,Montreal Harbour Commissioners appointments and salaries,Transportation and Communications
650135,agricultural immigration and land settlement policy,Agriculture and Food Policy
650202,procurement of parliamentary furniture,Government and Parliamentary Affairs
650166,government expenditure on immigration policy,Public Finance and Taxation
650159,government immigration policy and rural development,Agriculture and Food Policy
650219,grain production on prairie Indian reserves,"Justice, Constitution, and Indigenous Affairs"
650187,salaries of Quebec Harbour Commissioners,Transportation and Communications
650196,expenditures for civil service commission and printing bureau,Government and Parliamentary Affairs
650193,government purchase of creosoted piling,Public Finance and Taxation
650229,role of the Royal Canadian Mounted Police,"Justice, Constitution, and Indigenous Affairs"
650142,immigration policy and restrictions,"Justice, Constitution, and Indigenous Affairs"
650165,government-funded immigration and colonization schemes,Agriculture and Food Policy
650156,immigration policy,"Justice, Constitution, and Indigenous Affairs"
650235,Royal Canadian Mounted Police espionage activities,"Justice, Constitution, and Indigenous Affairs"
650212,Ontario provincial highway route planning,Transportation and Communications
650252,removal of RCMP from Brandon,"Justice, Constitution, and Indigenous Affairs"
650233,Royal Canadian Mounted Police enforcement powers,"Justice, Constitution, and Indigenous Affairs"
650330,scheduling of private members' business,Government and Parliamentary Affairs
650314,retention of private members' day,Government and Parliamentary Affairs
650239,reorganization of the Royal Northwest Mounted Police,"Justice, Constitution, and Indigenous Affairs"
650237,reorganization of the Royal Canadian Mounted Police,"Justice, Constitution, and Indigenous Affairs"
650312,scheduling of private members' business,Government and Parliamentary Affairs
650040,western farmers' interest rates and economic conditions,Banking and Monetary Policy
650247,Royal Canadian Mounted Police operations and conduct,"Justice, Constitution, and Indigenous Affairs"
650253,deployment of Royal Canadian Mounted Police,"Justice, Constitution, and Indigenous Affairs"
650273,reduction of government administrative costs,Government and Parliamentary Affairs
650327,scheduling of private members' day,Government and Parliamentary Affairs
650353,Easter parliamentary recess duration,Government and Parliamentary Affairs
650352,Easter parliamentary adjournment schedule,Government and Parliamentary Affairs
650264,reduction of parliamentary and ministerial salaries,Government and Parliamentary Affairs
650325,procedural rules for private members' resolutions,Government and Parliamentary Affairs
650268,criticism of government official compensation and expenses,Government and Parliamentary Affairs
650257,reduction of parliamentary and ministerial salaries,Government and Parliamentary Affairs
650322,Hindu franchise rights,"Justice, Constitution, and Indigenous Affairs"
650305,revision of the Bank Act,Banking and Monetary Policy
650279,reduction of federal cabinet size and costs,Government and Parliamentary Affairs
650323,national coal supply security,Natural Resources and Intergovernmental Relations
650296,sales tax exemption for Canadian Government Railways,Public Finance and Taxation
650313,precedence of private members' business,Government and Parliamentary Affairs
650284,reduction of members' sessional indemnities,Government and Parliamentary Affairs
650255,cooperation between Royal Canadian Mounted Police and provincial police forces,"Justice, Constitution, and Indigenous Affairs"
650316,parliamentary procedure for private members' resolutions,Government and Parliamentary Affairs
650249,Royal Canadian Mounted Police conduct,"Justice, Constitution, and Indigenous Affairs"
650299,collection of business profits and income taxes,Public Finance and Taxation
650496,rural-urban living standards and domestic settlement patterns,Social Welfare and Labour
650378,Canada Colonization Association partnership,Agriculture and Food Policy
650491,government immigration and colonization policies,Agriculture and Food Policy
650386,Canadian Colonization Association funding and immigration policy,Agriculture and Food Policy
650522,immigration of farm labourers and domestic servants,Social Welfare and Labour
650372,stagnant canadian immigration policy,"Justice, Constitution, and Indigenous Affairs"
650476,Canada Colonization Association land settlement policy,Agriculture and Food Policy
650518,appointment of overseas immigration agents,Government and Parliamentary Affairs
650547,royal commission on the grain trade,Agriculture and Food Policy
650509,prairie agriculture and immigration policy,Agriculture and Food Policy
650512,restriction of labour immigration and settlement policy,Social Welfare and Labour
650534,economic distress of western farmers,Agriculture and Food Policy
650413,immigration policies for farm labourers,"Justice, Constitution, and Indigenous Affairs"
650400,immigration policy and labour market economics,Social Welfare and Labour
650540,British immigration and land settlement policies,"Justice, Constitution, and Indigenous Affairs"
650498,opposition to government-funded immigration schemes,"Justice, Constitution, and Indigenous Affairs"
650521,cooperation on immigration and provincial labour needs,Natural Resources and Intergovernmental Relations
650374,lack of government immigration policy,"Justice, Constitution, and Indigenous Affairs"
650404,global commodity price determination,Agriculture and Food Policy
650416,rural-to-urban migration of immigrants,"Justice, Constitution, and Indigenous Affairs"
650511,wheat production subsidies and protectionist trade policy,International Trade and Tariffs
650398,immigration policy regarding farm and domestic labour,"Justice, Constitution, and Indigenous Affairs"
650523,canadian immigration policy and selection criteria,"Justice, Constitution, and Indigenous Affairs"
650532,agricultural insolvency in Alberta,Agriculture and Food Policy
650390,rural-to-urban migration and agricultural settlement,Agriculture and Food Policy
650524,immigration and agricultural settlement policies,Agriculture and Food Policy
650530,immigration policy and economic conditions,"Justice, Constitution, and Indigenous Affairs"
650425,Canada Colonization Association funding and management,Agriculture and Food Policy
650380,funding of the Canadian Manufacturers' Association,Public Finance and Taxation
650553,establishment of a grain trade commission,Agriculture and Food Policy
650536,misleading federal immigration recruitment literature,"Justice, Constitution, and Indigenous Affairs"
650478,Canada Colonization Association land settlement plan,Agriculture and Food Policy
650503,railway agency involvement in immigration recruitment,Transportation and Communications
650463,immigration policy and immigrant assimilation,"Justice, Constitution, and Indigenous Affairs"
650468,land settlement policy and domestic colonization,Agriculture and Food Policy
650420,reform of immigration department personnel,Government and Parliamentary Affairs
650447,agricultural immigration and urban unemployment,Social Welfare and Labour
650451,government funding for immigrant recruitment agencies,"Justice, Constitution, and Indigenous Affairs"
650388,emigration of Canadians to the United States,"Justice, Constitution, and Indigenous Affairs"
650473,labour-oriented immigration and domestic colonization policy,Social Welfare and Labour
650427,government funding of the Canada Colonization Association,Agriculture and Food Policy
650550,investigation of the grain trade,Agriculture and Food Policy
650475,government-funded immigration advertising policies,"Justice, Constitution, and Indigenous Affairs"
650556,Grain Inquiry Commission investigation,Agriculture and Food Policy
650502,state-aided immigration and agricultural economic policy,Agriculture and Food Policy
650482,misleading immigration advertising and settlement practices,"Justice, Constitution, and Indigenous Affairs"
650611,agricultural development in western Canada,Agriculture and Food Policy
650493,railway infrastructure for western settlers,Transportation and Communications
650613,western Canadian wheat production and marketing,Agriculture and Food Policy
650599,british immigration policy,"Justice, Constitution, and Indigenous Affairs"
650597,selective British immigration policy,"Justice, Constitution, and Indigenous Affairs"
650635,Canadian-United States tariff protection,International Trade and Tariffs
650406,impact of deflation on purchasing power,Banking and Monetary Policy
650607,promotion of voluntary immigration to Canada,"Justice, Constitution, and Indigenous Affairs"
650520,provincial immigration policy for New Brunswick,Natural Resources and Intergovernmental Relations
650627,Western Canadian agricultural market expansion,Agriculture and Food Policy
650623,tariff policy and industrial protection,International Trade and Tariffs
650579,appointment of a customs officer in New York,International Trade and Tariffs
650557,appointment of a royal commission on agriculture,Agriculture and Food Policy
650558,legal jurisdiction of the Canada Grain Act,"Justice, Constitution, and Indigenous Affairs"
650600,immigration and agricultural settlement policy,Agriculture and Food Policy
650621,agricultural development and regional industrialization,Agriculture and Food Policy
650665,rejection of class consciousness in Canada,Social Welfare and Labour
650582,proposed customs officer in New York,International Trade and Tariffs
650559,investigation of the grain trade,Agriculture and Food Policy
650644,evaluation of immigration and national economic conditions,"Justice, Constitution, and Indigenous Affairs"
650637,selective immigration policy requirements,"Justice, Constitution, and Indigenous Affairs"
650609,criteria for immigrant selection,"Justice, Constitution, and Indigenous Affairs"
650660,social status of manual labour,Social Welfare and Labour
650686,broad immigration policy,"Justice, Constitution, and Indigenous Affairs"
650680,emigration from Canada to the United States,"Justice, Constitution, and Indigenous Affairs"
650672,labour migration and regional economic conditions,Social Welfare and Labour
650638,western Canada agricultural land policy,Agriculture and Food Policy
650687,canada's immigration policy and western agricultural conditions,Agriculture and Food Policy
650658,western canadian agricultural distress and colonization,Agriculture and Food Policy
650726,sales tax remission on international bridge materials,International Trade and Tariffs
650689,agricultural economic conditions in Western Canada,Agriculture and Food Policy
650784,import duties on bituminous coal,International Trade and Tariffs
650763,British Columbia liquor bonded warehouses,International Trade and Tariffs
650762,British Columbia liquor export warehouse licenses,International Trade and Tariffs
650776,national fuel policy and coal supply,Natural Resources and Intergovernmental Relations
650736,Grand Trunk Railway financial liabilities,Transportation and Communications
650777,national fuel policy and coal transportation,Transportation and Communications
650783,national coal policy and freight rates,Transportation and Communications
650791,transportation of western Canadian coal,Transportation and Communications
650745,Canadian National Railways director remuneration and appointments,Transportation and Communications
650781,national fuel policy and coal supply,Natural Resources and Intergovernmental Relations
650786,national fuel policy and railway freight rates,Transportation and Communications
650750,customs duties and import drawbacks,International Trade and Tariffs
650795,Alberta coal transportation to eastern Canada,Transportation and Communications
650754,income tax revenue statistics,Public Finance and Taxation
650742,purchase of Caraquet and Gulf Shore Railway,Transportation and Communications
650817,acceptance of titles and decorations by Canadians,Government and Parliamentary Affairs
650816,regulation of titles and decorations,Government and Parliamentary Affairs
650691,economic development and population retention policies,"Justice, Constitution, and Indigenous Affairs"
650802,national fuel policy resolution,Natural Resources and Intergovernmental Relations
650828,acceptance of imperial honours and decorations,Government and Parliamentary Affairs
650850,abolition of titles and honours,Government and Parliamentary Affairs
650801,railway freight rates for coal transportation,Transportation and Communications
650794,national fuel policy and domestic coal supply,Natural Resources and Intergovernmental Relations
650829,abolition of titles and decorations,Government and Parliamentary Affairs
650819,regulation of titles and decorations,Government and Parliamentary Affairs
650884,parliamentary rules regarding amendments,Government and Parliamentary Affairs
645814,financial support for families of convicts,Social Welfare and Labour
650841,regulation of titles and foreign decorations,Government and Parliamentary Affairs
650849,opposition to titles and decorations,Government and Parliamentary Affairs
650883,parliamentary rules of procedure,Government and Parliamentary Affairs
645828,penitentiary expenditure and revenue accounting,Public Finance and Taxation
650863,regulation of titles and honours,Government and Parliamentary Affairs
650889,parliamentary procedure regarding amendments to supply,Government and Parliamentary Affairs
645769,administration of capital punishment,"Justice, Constitution, and Indigenous Affairs"
650860,recognition for non-titled public honours,Government and Parliamentary Affairs
650870,"titles, honours, and decorations policy",Government and Parliamentary Affairs
650869,acceptance of foreign and British honours,Government and Parliamentary Affairs
650875,granting of foreign titles and decorations,Government and Parliamentary Affairs
650858,abolition of hereditary titles,Government and Parliamentary Affairs
650898,parliamentary rules regarding amendments by third parties,Government and Parliamentary Affairs
650890,amendment rights under house rules,Government and Parliamentary Affairs
650885,parliamentary closure rules,Government and Parliamentary Affairs
650845,acceptance of foreign titles and decorations,Government and Parliamentary Affairs
645847,conditions in local gaols,"Justice, Constitution, and Indigenous Affairs"
650854,conferral of titles and honours,Government and Parliamentary Affairs
645767,execution of capital punishment duties,"Justice, Constitution, and Indigenous Affairs"
645872,security for prairie bank robbery victims,Banking and Monetary Policy
645939,pecuniary claims convention arbitration expenses,Public Finance and Taxation
645764,administration of capital punishment,"Justice, Constitution, and Indigenous Affairs"
645819,penitentiary agricultural production,"Justice, Constitution, and Indigenous Affairs"
645855,prison reform and inmate amenities,"Justice, Constitution, and Indigenous Affairs"
650893,parliamentary rules of procedure,Government and Parliamentary Affairs
650892,amendment of House of Commons procedural rules,Government and Parliamentary Affairs
650906,parliamentary rules and the two-party system,Government and Parliamentary Affairs
645887,Royal Canadian Mounted Police budget estimates,"Justice, Constitution, and Indigenous Affairs"
650879,parliamentary rules for budget amendments,Government and Parliamentary Affairs
650882,House of Commons procedural rules for opposition groups,Government and Parliamentary Affairs
645765,administration of capital punishment,"Justice, Constitution, and Indigenous Affairs"
645950,equitable distribution of petroleum production bounties,Natural Resources and Intergovernmental Relations
650833,the granting of hereditary titles,Government and Parliamentary Affairs
650852,conferral of titles and decorations,Government and Parliamentary Affairs
645867,Royal Canadian Mounted Police pension adjustments,Veterans' and Military Affairs
650836,regulation of titles and decorations,Government and Parliamentary Affairs
645766,execution procedures in provincial gaols,"Justice, Constitution, and Indigenous Affairs"
650909,revision of House of Commons rules,Government and Parliamentary Affairs
645797,discharged convict rehabilitation assistance,"Justice, Constitution, and Indigenous Affairs"
645866,Northwest Mounted Police veterans' pensions,Veterans' and Military Affairs
650859,acceptance of foreign titles and decorations,Government and Parliamentary Affairs
645954,Alberta oil well bounty regulations,Natural Resources and Intergovernmental Relations
645970,legal proceedings concerning the Canadian Wheat Board,Agriculture and Food Policy
645955,regulation of fraudulent oil company stock sales,Banking and Monetary Policy
645976,grain cleaning and screening in threshing,Agriculture and Food Policy
645951,western Canada oil production bounties,Natural Resources and Intergovernmental Relations
645965,administration of the Canada Grain Act,Agriculture and Food Policy
645974,grain cleaning and elevator screenings practices,Agriculture and Food Policy
645890,unnecessary legal expenditures for RCMP prosecutions,"Justice, Constitution, and Indigenous Affairs"
645871,department of justice budget appropriations,Public Finance and Taxation
646038,national fuel supply problem,Natural Resources and Intergovernmental Relations
645989,disposal of grain elevator screenings,Agriculture and Food Policy
645977,grain elevator dockage and screenings regulation,Agriculture and Food Policy
645996,residence requirements for grain commissioners,Agriculture and Food Policy
646008,national fuel supply research and coke production,Natural Resources and Intergovernmental Relations
646031,lignite deposit utilization in western Canada,Natural Resources and Intergovernmental Relations
646039,lignite carbonization experiment at Bienfait,Natural Resources and Intergovernmental Relations
646030,suitability of Nova Scotia coal for fuel,Natural Resources and Intergovernmental Relations
646006,consolidation of government statistical branches,Government and Parliamentary Affairs
646020,transportation of domestic coal supplies,Transportation and Communications
646015,national fuel supply and security,Natural Resources and Intergovernmental Relations
646011,standardization of farm machinery parts,Agriculture and Food Policy
645981,grain screening facilities in Lethbridge,Agriculture and Food Policy
650331,allocation of parliamentary time for private resolutions,Government and Parliamentary Affairs
646023,national coal supply and transportation infrastructure,Transportation and Communications
646012,domestic coal supply and processing experiments,Natural Resources and Intergovernmental Relations
646014,peat fuel production and feasibility experiments,Natural Resources and Intergovernmental Relations
646048,development of Ontario peat deposits for fuel,Natural Resources and Intergovernmental Relations
646047,oversight of departmental research experiments,Government and Parliamentary Affairs
646049,peat fuel production experiments,Natural Resources and Intergovernmental Relations
646068,Ontario coal supply shortages,Natural Resources and Intergovernmental Relations
646085,transportation of Alberta coal to central Canada,Transportation and Communications
646081,western Canada coal fuel shortages,Natural Resources and Intergovernmental Relations
646072,government coal supply distribution in Ontario,Natural Resources and Intergovernmental Relations
646091,standardisation of farm machinery parts,Agriculture and Food Policy
646089,quality of Nova Scotia coal,Natural Resources and Intergovernmental Relations
650946,Halibut Fisheries Treaty signing authority,"Justice, Constitution, and Indigenous Affairs"
646073,Canada's anthracite coal supply shortage,Natural Resources and Intergovernmental Relations
651004,settlement of land for immigrants,"Justice, Constitution, and Indigenous Affairs"
646050,transportation of Alberta coal to Ontario,Transportation and Communications
646118,accuracy of gasoline pump measurement devices,Government and Parliamentary Affairs
646134,Vimy Ridge monument construction,Veterans' and Military Affairs
650926,Rush-Bagot Treaty naval disarmament correspondence,Veterans' and Military Affairs
646086,suitability of Nova Scotia coal for fuel,Natural Resources and Intergovernmental Relations
646083,western fuel supply and lignite development,Natural Resources and Intergovernmental Relations
650983,soldier settlement mortgage repayment schemes,Veterans' and Military Affairs
646055,railway freight transportation of coal,Transportation and Communications
646126,gasoline pump measurement accuracy,Government and Parliamentary Affairs
646070,shortage of coal supply in Ontario,Natural Resources and Intergovernmental Relations
646056,transportation of Alberta coal to Manitoba,Transportation and Communications
646098,standardization and quality regulation of petroleum products,Natural Resources and Intergovernmental Relations
650839,parliamentary restrictions on titles and decorations,Government and Parliamentary Affairs
650939,Halibut Fisheries Treaty ratification status,"Justice, Constitution, and Indigenous Affairs"
650960,deportation of James Larkin,"Justice, Constitution, and Indigenous Affairs"
650940,halibut fisheries treaty ratification,"Justice, Constitution, and Indigenous Affairs"
650974,parliamentary procedure regarding departmental estimates,Government and Parliamentary Affairs
651035,western Canada land settlement scheme,"Justice, Constitution, and Indigenous Affairs"
646051,transportation costs of Alberta coal,Transportation and Communications
651006,agricultural immigration and settler recruitment policies,"Justice, Constitution, and Indigenous Affairs"
651020,settlement of privately-owned western lands,"Justice, Constitution, and Indigenous Affairs"
650976,postmaster general's departmental estimates,Government and Parliamentary Affairs
650832,opposition to titular honours and decorations,Government and Parliamentary Affairs
651010,immigration and land settlement policy,"Justice, Constitution, and Indigenous Affairs"
651031,Canada Colonization Association land settlement schemes,"Justice, Constitution, and Indigenous Affairs"
650929,incomplete parliamentary return regarding Halibut Fisheries Treaty,"Justice, Constitution, and Indigenous Affairs"
646075,domestic coal supply and peat utilization,Natural Resources and Intergovernmental Relations
651082,availability of seasonal agricultural labour,Social Welfare and Labour
651055,government immigration and land settlement policy,"Justice, Constitution, and Indigenous Affairs"
650848,policy on granting of titles,Government and Parliamentary Affairs
651047,oversas settlement and immigration funding,"Justice, Constitution, and Indigenous Affairs"
650778,national fuel and energy policy,Natural Resources and Intergovernmental Relations
650987,land settlement and colonization scheme commissions,"Justice, Constitution, and Indigenous Affairs"
646067,domestic coal supply and agricultural implement standardisation,Natural Resources and Intergovernmental Relations
651075,Western Canada Colonization Association scheme,"Justice, Constitution, and Indigenous Affairs"
651008,immigration policy and land settlement,"Justice, Constitution, and Indigenous Affairs"
651080,immigration policy and employment conditions,Social Welfare and Labour
651011,land settlement company commission rates,"Justice, Constitution, and Indigenous Affairs"
651071,procedural clarification of legislative correspondence,Government and Parliamentary Affairs
651069,government co-operation with immigration organizations,"Justice, Constitution, and Indigenous Affairs"
650933,parliamentary record correction regarding voting procedure,Government and Parliamentary Affairs
651049,government grants for Salvation Army immigration work,"Justice, Constitution, and Indigenous Affairs"
651018,private immigration settlement schemes,"Justice, Constitution, and Indigenous Affairs"
646087,Nova Scotia coal quality and briquetting,Natural Resources and Intergovernmental Relations
651053,settlement fund protection for immigrants,"Justice, Constitution, and Indigenous Affairs"
651106,federal immigration policy and immigrant assimilation,"Justice, Constitution, and Indigenous Affairs"
650445,immigration policy and regulations,"Justice, Constitution, and Indigenous Affairs"
651072,Western Canada Colonization Association operations,"Justice, Constitution, and Indigenous Affairs"
651084,assimilation of immigrant groups in Canada,"Justice, Constitution, and Indigenous Affairs"
651137,Montreal postal service civil service appointments,Government and Parliamentary Affairs
651117,pre-emption land payment policies,Agriculture and Food Policy
650998,Canada Colonization Association operations,"Justice, Constitution, and Indigenous Affairs"
651124,parliamentary schedule and progress of business,Government and Parliamentary Affairs
651185,proposal for an elective Senate,Government and Parliamentary Affairs
651074,government assistance for immigration settlement organizations,"Justice, Constitution, and Indigenous Affairs"
651204,reform of the Senate of Canada,Government and Parliamentary Affairs
651149,Royal Northwest Mounted Police land scrip eligibility,"Justice, Constitution, and Indigenous Affairs"
651113,economic distress of western farmers,Agriculture and Food Policy
651164,Canadian National Railways Atlantic Division termini,Transportation and Communications
651120,government-assisted immigration nomination process,"Justice, Constitution, and Indigenous Affairs"
651138,Montreal district postal service personnel appointments,Government and Parliamentary Affairs
651150,North-West Rebellion land scrip eligibility for police,"Justice, Constitution, and Indigenous Affairs"
651194,proposal for an elective Senate,Government and Parliamentary Affairs
651227,income tax exemption requests,Public Finance and Taxation
651206,reform of the Senate of Canada,Government and Parliamentary Affairs
651209,reform of the Senate of Canada,Government and Parliamentary Affairs
651336,colonization and settlement of northern Ontario,Agriculture and Food Policy
651208,proposed reform of the Senate of Canada,Government and Parliamentary Affairs
651258,expedited handling of parliamentary questions,Government and Parliamentary Affairs
651159,Canadian National Railways coal supply contracts,Transportation and Communications
650046,immigration policy and retention rates,"Justice, Constitution, and Indigenous Affairs"
651332,immigration policy and population growth,"Justice, Constitution, and Indigenous Affairs"
651201,proposal for an elective Senate,Government and Parliamentary Affairs
651238,grounding of the icebreaker Mikula,Transportation and Communications
651354,impact of agricultural immigration on market prices,Agriculture and Food Policy
651315,causes of canadian emigration and rural depopulation,"Justice, Constitution, and Indigenous Affairs"
651296,taxation burden on western farmers,Public Finance and Taxation
651211,constitutional amendment of the Canadian constitution,"Justice, Constitution, and Indigenous Affairs"
651256,parliamentary procedure for answering member questions,Government and Parliamentary Affairs
651365,immigration policy and labor competition,Social Welfare and Labour
651345,agricultural debt and economic challenges for farmers,Agriculture and Food Policy
651216,repatriation and renaturalization of war veterans,Veterans' and Military Affairs
651254,government accountability in answering parliamentary questions,Government and Parliamentary Affairs
651313,Canadian immigration and emigration policy,"Justice, Constitution, and Indigenous Affairs"
651239,grounding and repair of the steamer Mikula,Transportation and Communications
651317,western canadian agricultural and transportation policy,Agriculture and Food Policy
651291,agricultural settlement and living conditions in western Canada,Agriculture and Food Policy
651310,economic conditions and corporate influence,Public Finance and Taxation
651404,immigration policy,"Justice, Constitution, and Indigenous Affairs"
651341,agricultural settlement and colonization in northern Ontario,Agriculture and Food Policy
651300,Western Canada Colonization Association funding and activities,"Justice, Constitution, and Indigenous Affairs"
651351,farm implement purchasing power comparison,Agriculture and Food Policy
651569,Japanese immigration policy and trade treaties,International Trade and Tariffs
651269,deferred immigration department budget estimates,Public Finance and Taxation
651217,repatriation of Canadian soldiers via naturalization laws,Veterans' and Military Affairs
651283,immigration policy discussion,"Justice, Constitution, and Indigenous Affairs"
651553,Japanese and Chinese immigration agreements,International Trade and Tariffs
