basepk,topic,error
740711,construction of a railway line,
740754,distribution of Yukon canteen funds,
740755,distribution of military canteen funds to the Yukon,
740750,distribution of military canteen funds,
740893,regulation of charitable solicitations for foreign relief,
740681,provincial guarantees for Dominion railway branch lines,
740760,distribution of military canteen funds,
740741,administration of military canteen funds,
740887,regulation of war charities,
740868,distribution of government statutes,
740696,provincial railway financing and investment liquidity,
740795,minimum government annuity purchase amount amendment,
740801,Government Annuities Act amendment,
740886,repeal of the War Charities Act,
743384,military service and remuneration of Colonel Machin,
740774,distribution of military canteen funds,
740894,amendments to the War Charities Act,
740897,exemption of the Imperial Order of the Daughters of the Empire from the War Charities Act,
740793,oversight of soldier canteen fund expenditures,
740781,administration of First World War canteen funds,
743378,fire insurance for Temiscouata public buildings,
740656,Canadian National Railway branch line construction,
740744,administration of overseas canteen funds,
740890,supervision of charitable organizations under the War Charities Act,
740778,administration of military canteen funds,
740892,War Charities Act reporting requirements,
740714,Canadian National Railways branch line construction,
740712,Canadian National Railway branch line construction,
740864,distribution of parliamentary statutes to members,
743441,Canada Grain Act amendment and consolidation,
743433,procedural requirements for Canada Grain Act amendments,
743392,appointment of St. Leonard customs sub-collector,
743444,Canada Grain Act amendments,
743440,legislative procedure for grain act amendments,
743387,Canadian National Railways executive salaries,
743471,Canada Grain Act amendments,
740820,amendment to the Publication of Statutes Act,
743434,Canada Grain Act amendment process,
743455,Canada Grain Act amendments,
743489,regulation of terminal grain elevator overages,
743448,parliamentary procedure regarding the Canada Grain Act,
743429,railway freight rates legislation,
743474,amendments to the Canada Grain Act,
743442,Canada Grain Act amendment legislation procedures,
743447,Canada Grain Act amendment legislation,
743432,procedural requirements for Canada Grain Act amendments,
743491,terminal elevator grain overages,
743499,grain elevator overages and regulations,
743484,amendments to the Canada Grain Act,
743468,Canada Grain Act amendment procedure,
743482,Canada Grain Act amendments,
743480,procedural ruling on trade legislation amendments,
743523,regulation of grain elevators and inspection procedures,
737030,coal import duties and trade policy,
743473,consolidation and amendment of the Canada Grain Act,
743546,Pacific coast grain shipping regulations,
743529,grain grading and inspection uniformity,
743547,use of grain screenings as livestock feed,
743535,routing of wheat shipments under Canada Grain Act,
743534,grain car consignment and distribution practices,
743533,amendments to the Canada Grain Act,
743538,establishment of a grain sample market,
743618,standardization of potato peck measurements,
743566,interprovincial liquor importation regulations,
743536,regulation of grain handling and ownership rights,
737228,canadian tariff revenue policy,
743517,regulation of grain elevator practices,
743542,establishment of a sample grain market,
743602,grading and labeling of onions,
743604,grading standards for exported onions,
743612,standardization of potato measures,
743616,standardization of root vegetable weights,
743628,Root Vegetables Act amendment regarding weight standards,
743552,liquor importation under the Canada Temperance Act,
743590,Royal Canadian Mounted Police pension legislation,
743680,homestead land access for farmers' sons,
743644,amendment of the Fruit Act concerning combination grades,
737014,elimination of coal import duties,
743559,importation of liquor under Canada Temperance Act,
743587,Royal Northwest Mounted Police pension increases,
743688,administration of provincial school lands,
743672,homesteading regulations and land selection criteria,
743696,land speculation in the Canadian Northwest,
743681,grazing land policy in dry areas,
743682,restriction of agricultural competition,
743611,standardization of vegetable weight and measure,
743667,homesteading and land tenure policies,
743550,prohibition of liquor importation under Canada Temperance Act,
743700,reduction of western school land holdings,
743701,Dominion Lands Act amendments,
743679,homestead distance limitations for ranching families,
743613,standardization of root vegetable weights,
743694,land payment and speculation provisions,
743401,government-owned grain elevator statistics,
743678,homesteading and land use policy,
743697,remission of western Canada school lands payments,
743709,agricultural debt adjustment and credit relief,
743666,homesteading regulations in southern Alberta and Saskatchewan,
743749,federal subsidies for Ontario grain elevators,
743707,school land purchase contract amendments,
743830,construction costs of Vancouver grain elevators,
743801,regulation of grain elevator fees,
743747,construction of grain elevators in Ontario,
743777,government grain elevator operating costs,
743782,government-owned grain elevator financial deficits,
743724,western Canada school fund protection,
743591,Royal Canadian Mounted Police pension legislation,
743788,Vancouver grain elevator fees and insurance costs,
743786,grain elevator operating costs and insurance charges,
743776,grain elevator weighing and inspection fees,
743588,Royal North West Mounted Police pensions,
743720,definition of bona fide farmer status,
743723,repayment of government land settlement loans,
743761,maintenance and equipment of Canadian Government Elevators,
743778,presentation of government financial statements,
743806,grain handling and terminal elevator operations,
743784,capacity of interior grain elevators,
743843,development of Nova Scotia maritime infrastructure,
743750,construction of government grain elevators,
743710,western canadian land speculation and taxation,
743589,Royal Canadian Mounted Police pensions,
743850,Crowsnest Pass freight rates and grain transportation,
743834,construction costs of western grain elevators,
743846,grain transportation costs to Halifax,
743939,age limit for departmental appointments,
743746,management of the Halifax grain elevator,
743851,Crowsnest Pass railway freight rates,
744035,application of the dumping act,
743908,expansion of Canadian trade with Fiji and Mexico,
743725,unpaid municipal taxes on government-held lands,
743870,grain transportation and export infrastructure,
743902,funding for Canadian commercial intelligence service,
743926,Civil Service Commission appointment qualifications,
743711,Dominion Lands Act amendments regarding settler farmers,
744057,customs tariff valuation of automobiles,
743960,parliamentary procedure for departmental budget estimates,
744056,application of customs dumping duties,
744032,enforcement of customs dumping regulations,
743968,department of trade and commerce budget estimates,
743887,grain elevator construction in Halifax,
743719,settler land payment adjustments,
743861,moderate protectionist trade policy and freight rates,
743904,expansion of Canadian trade services abroad,
743872,freight rates for grain transport to Quebec,
744019,customs valuation powers,
743859,construction of a grain elevator in Halifax,
743903,expansion of Canadian international trade relations,
743924,civil service examination qualification requirements,
744111,customs tariff valuation and ministerial authority,
743879,transportation rates for western canadian grain,
743940,civil service recruitment qualifications,
744114,dumping duty on imported apples,
743918,qualifications for trade commissioners,
743873,construction of a grain elevator at Halifax,
743875,moderate trade protection and industrial policy,
744085,customs tariff administration and ministerial authority,
743878,grain shipping and British preference tariffs,
743906,Fiji-Canada trade and steamship services,
744043,customs tariff dumping provisions for dairy products,
744120,customs duty valuation of imported automobiles,
743916,hiring qualifications for trade commissioners,
744115,application of customs dumping duties,
743951,qualifications for trade commissioners,
743877,increased shipping traffic at Halifax port,
744118,customs smuggling and invoice fraud enforcement,
743953,expansion of Canadian trade commissioner services,
744129,customs duty assessment and valuation,
744210,reduction of customs duties on gasoline engines,
744093,unauthorized customs valuation practices,
744167,customs valuation appeal procedures,
744200,customs tariff rebates on fishing engine materials,
744131,customs tariff valuation of imported goods,
744169,customs duty valuation of imported books,
744137,customs tariff valuation and departmental regulations,
744187,customs tariff valuation of automobiles,
744148,customs tariff trade discount regulations,
744149,automobile import tariff valuation methods,
744152,arbitrary valuation of imported automobiles,
744172,customs duty and anti-dumping regulations,
744235,reduction of customs tariffs on engines,
744231,reduction of fishing equipment customs tariffs,
744183,automobile import customs duty calculation,
744202,tariff reduction on gasoline engines for fishermen,
744207,import duties on marine engines,
744219,protectionist trade policy and customs tariffs,
744218,customs duty reduction on marine engines,
744150,customs duty valuation of imported goods,
744199,customs tariff reduction on internal combustion engines,
744265,reduction of duties on crude oil production implements,
744208,canadian manufacturing competition with american mass production,
744239,customs tariff reduction on fishing boat engines,
744160,importation of American wheat for milling,
744241,tariff reduction on fishing boat engines,
744173,automobile import duty and tax assessment,
744271,import tariff on well-drilling equipment,
744243,customs tariff reductions on agricultural implements,
744248,customs tariff remission on fishing vessel engines,
744255,customs tariff exemptions for fishing boat engines,
728483,commercial cultivation and marketing of hemp,
744456,stamp tax on grain transactions,
744364,bituminous coal tariff and drawback policy,
744419,repeal of the Special War Revenue Act,
744246,customs tariff reductions on fishing equipment,
744454,stamp tax on grain cheques,
744385,tax exemptions for dairy producers,
744415,overdraft bank tax,
744371,stamp tax on small produce cheques,
744403,taxation of bank overdrafts and promissory notes,
744290,import duty on coal,
744383,stamp tax on dairy industry cheques,
744435,cheque tax exemptions,
744427,budgetary policy and taxation methods,
744274,customs tariff exemption for water well drills,
744460,exemption for cream cheques from stamp tax,
744289,Nova Scotia coal mining industry inquiry,
744420,receipt tax evasion,
744276,sales tax exemption for well drilling machinery,
744426,taxation of bank cheques under the Special War Revenue Act,
744416,stamp taxes on creamery tickets,
744220,tariffs on marine gas engines,
744370,amendments to the Special War Revenue Act,
744384,cheque stamp tax reform,
744421,enforcement of receipt and overdraft taxes,
744314,import tariff discrepancies on logging equipment,
744275,customs tariff on oil drilling equipment,
744410,taxation of municipal and corporate bond coupons,
744442,stamp tax requirements on monthly statements,
744441,cheque stamp tax equity,
744443,stamp tax on monthly business statements,
744389,Special War Revenue Act stamp tax amendments,
744457,stamp tax on grain commission sales,
744372,proposed tax revenue amendments,
744465,taxation of bank accounts and cream sales,
727267,standardization of railway freight rates,
717521,consultation of indigenous peoples on mineral rights,
744477,sales tax on cream products,
744514,dairy industry tax adjustment,
744280,customs tariff exemptions for mining machinery,
744484,stamp tax on creamery cheques,
744417,reduction of nuisance stamp taxes,
744206,customs tariff protection for primary industries,
744467,stamp tax on cheques and cream tickets,
744502,farmer income tax liability,
744482,agricultural taxation burdens,
744636,medical services for veterans,
744499,stamp tax exemption for creamery cheques,
744532,incidence of taxation on primary producers,
744534,economic burden of urban standards of living on primary producers,
744604,reduction of civil service employees,
744504,farmers' income tax exemptions,
744494,stamp tax on creamery payments,
744512,taxation on bank note renewals,
744523,tax evasion on retail sales slips,
744542,taxation of bank promissory notes,
744606,administration of veterans' pensions,
744648,department of soldiers' civil re-establishment administration costs,
744538,taxation on promissory note renewals,
744641,administration costs of soldiers' pensions,
744510,excise stamp tax on cheques and notes,
744551,amendments to the special war revenue act,
744498,stamp tax on dairy business,
744680,French-speaking staff at Wembley exhibition,
744505,stamp tax on bank cheques,
744691,disclosure of bank rediscounting information,
744710,Canada Grain Act amendment procedure,
744638,Department of Soldiers' Civil Re-establishment administrative costs,
744727,amendments to the Industrial Disputes Investigation Act,
744692,disclosure of chartered bank borrowing under War Finance Act,
744620,veterans' pensions and departmental expenditures,
744628,returned soldiers' insurance benefits,
744732,canadian constitutional autonomy and judicial authority,
744644,administration of veterans' pensions,
744771,Industrial Disputes Investigation Act amendments,
744690,Dominion note issues and bank rediscounting,
744765,Industrial Disputes Investigation Act amendments,
729344,North Atlantic steamship freight rates,
744864,nationality of women married to foreigners,
727785,parliamentary procedure regarding committee review of estimates,
744735,constitutional division of federal and provincial powers,
744770,amendments to the Industrial Disputes Investigation Act,
744762,amendment of the Industrial Disputes Investigation Act,
744782,constitutionality of Industrial Disputes Investigation Act,
744776,re-enactment of the Industrial Disputes Investigation Act,
743676,homesteading and ranching land regulations,
744808,amendments to the Industrial Disputes Investigation Act,
744774,federal and provincial jurisdiction over labour legislation,
744802,amendments to the Industrial Disputes Investigation Act,
744803,amendments to the Industrial Disputes Investigation Act,
744490,taxation on cream coupon remittances,
744799,amendments to the Industrial Disputes Investigation Act,
744851,naturalization application and judicial procedures,
744881,amendments to the Naturalization Act,
744788,Industrial Disputes Investigation Act litigation,
744908,perjury prosecution of Alexander McLean,
744784,Industrial Disputes Investigation Act amendments,
744801,Industrial Disputes Investigation Act amendment process,
744905,civil service salary revision and working conditions,
744871,naturalization procedures and requirements,
744872,retention of nationality for Canadian women,
744758,amendment of the British North America Act,
744875,nationality status of married women,
744951,Canada-Finland commercial treaty negotiations,
744952,Canada-Finland commercial treaty legislation,
744954,Canada-Finland commercial treaty tariff adjustments,
744513,daily payment system for western creamery butter,
744958,Canada-Finland commercial treaty,
744906,civil service salary revision and personnel policies,
744909,perjury charge against Alexander Archibald McLean,
744893,departmental expenditure for German reparations claims,
744992,Canada-Finland trade agreement and consumer interests,
744970,Canada-Finland commercial treaty and flour exports,
744795,amendment to Industrial Disputes Investigation Act,
744737,constitutional reform of the Senate,
745012,reciprocal trade with the United States,
744966,Canada-Finland treaty of commerce,
745018,proposed Canada-Finland trade agreement duties,
745043,Canada-Finland treaty of commerce,
745031,kraft paper tariff protection,
744813,amendments to the Industrial Disputes Investigation Act,
745042,Canada-Finland trade agreement ratification,
744850,naturalization certificate application process,
745038,Canada-Finland trade treaty tariff preferences,
744789,federal intervention in Nova Scotia coal mines,
744752,Nova Scotia's entry into Confederation,
744785,amendments to the Industrial Disputes Investigation Act,
744975,Canada-Finland trade agreement and tariff concessions,
745037,Canada-Finland trade agreement tariff rates,
745020,import duties on kraft paper,
744963,Canada-Finland trade agreement concessions,
745034,Canada-Finland treaty of commerce ratification,
745007,Canada-Finland trade statistics,
744987,Canada-Finland trade agreement provisions,
744998,Canada-Finland trade agreement,
745021,Canada-Finland Treaty of Commerce,
745036,Canada-Finland treaty of commerce,
745099,Canada-Netherlands trade convention,
745101,Canada-Netherlands trade relations,
745107,Canada-Netherlands trade agreement,
745155,Netherlands and Finland commercial treaty regulations,
745125,Canada-Netherlands trade agreement provisions,
745121,Canada-Netherlands trade treaty conditions,
745103,Canada-Netherlands commercial treaty imports and exports,
745137,Canada-Netherlands commercial convention ratification,
745105,Canada-Netherlands trade statistics,
745055,Canada-Finland commercial treaty and tariff protection,
745032,Canada-Finland treaty of commerce ratification,
745194,Canada-Netherlands commercial tariff concessions,
745133,Canada-Netherlands trade agreement and tariff policy,
745190,Canada-Netherlands trade treaty terms,
744786,Industrial Disputes Investigation Act amendments,
745196,Canada-Netherlands trade convention and tariff policy,
729221,division of race track betting legislation,
745251,revision of customs tariff schedules,
745046,Canada-Finland trade agreement ratification,
745253,tariff reduction and budget support,
744778,Industrial Disputes Investigation Act amendments,
745258,Customs Tariff amendment legislation,
745254,customs tariff amendment vote,
744797,Industrial Disputes Investigation Act amendments,
745191,Canada-Netherlands trade and tariff negotiations,
745336,immigration department administrative procedure,
745201,Canada-Netherlands trade agreement tariff reductions,
745259,want of confidence motion in the government,
745291,amendments to the Immigration and Colonization Act,
745411,speculation in western dominion lands,
745360,deportation of incarcerated immigrants,
745256,customs tariff amendment and budget policy,
745390,settler cultivation requirements under dominion lands legislation,
745384,Dominion Lands Act amendments for distressed farmers,
745397,reversion of school land sales titles,
745394,leasing and taxation of school lands,
745332,deportation procedures for incarcerated individuals,
745353,deportation of alien criminals,
745275,parliamentary debate obstruction charges,
745269,customs tariff amendment debate,
745376,amendment to Dominion Lands Act regarding school lands,
745345,deportation of criminal immigrants,
745341,deportation of immigrants with criminal records,
745414,settlement of land by farmers,
745296,deportation of narcotic drug traffickers,
745413,Dominion lands auction processes,
745298,deportation procedures for criminal aliens,
745408,Dominion Lands Act purchase agreements,
745532,Department of Trade and Commerce administrative staffing,
745470,Dominion Bureau of Statistics salary expenditures,
745331,deportation of narcotic drug offenders,
745232,Canada-Netherlands commercial tariff rates,
745582,western census expenditure and staffing,
745379,school land sale regulations,
745444,repayment relief for school land purchasers,
745445,administration of Indian lands,
745599,standardization of dominion bureau of statistics data,
745319,deportation procedures for incarcerated immigrants,
745472,administrative burden of government statistical returns,
745646,export of hydroelectric power,
745588,methodology of the decennial census,
745542,completion of the 1921 census,
745505,funding for the Dominion Bureau of Statistics,
745443,farm land purchase payments and arrears,
745626,export tax on hydroelectric power,
745625,exportation of hydroelectric power,
745705,export of electric power policy,
745632,export of hydroelectric power,
745608,accuracy of government labour statistics,
745673,executive imposition of municipal taxation,
745655,hydroelectric power export and development,
745628,prohibition of hydroelectric power exports,
745665,parliamentary control of government expenditures,
745282,legislative procedure regarding the Special War Revenue Act,
745644,export of hydroelectric power,
745691,regulation of hydroelectric power export,
745434,Dominion Lands Act relief clauses,
745638,export of hydroelectric power to the United States,
745766,hydroelectric power export policy,
745741,government order in council procedures,
745265,no-confidence motion against the government,
745731,parliamentary debate conduct,
745671,executive implementation of budgetary measures,
745631,hydroelectric power export and resource development,
745718,export of hydroelectric power,
745629,export of hydroelectric power to the United States,
745579,dominion bureau of statistics funding,
745735,St. Lawrence River hydroelectric power development,
745744,Carillon hydroelectric power export license,
745773,export of electrical power,
745738,export of electrical power,
745866,federal regulation of explosives,
745795,export of hydroelectric power,
745804,department of trade and commerce estimates,
745750,Carillon hydroelectric power export application,
745807,Trade and Commerce departmental estimates,
745904,government bounties for iron ore production,
745888,government revenue from crown services,
745848,federal jurisdiction over explosives regulation,
745779,export of electrical power,
745797,tax relief for Ontario municipalities,
746003,provincial control of Manitoba natural resources,
745799,municipalities' financial claims against the government,
745781,parliamentary procedure and relevance of debate,
746014,commercial development of peat experiments,
745955,support for mining prospectors,
745930,geological survey of Rocky Mountain natural resources,
745901,iron ore production bounties,
745924,commercial development of peat fuel,
745905,mineral resource development in Manitoba,
745909,federal support for iron ore processing development,
746028,investigation of Saskatchewan sodium sulphate deposits,
745928,government assistance for mineral ore testing,
745915,lignite coal briquetting process investigation,
745885,transportation of dangerous explosives,
745947,development of The Pas mineral belt,
746029,disclosure of departmental reports and returns,
746022,government oil field investigation reports,
746069,proposed ore testing plant in British Columbia,
745946,geological survey expedition expenditures,
746013,commercial development of peat fuel processing,
746006,geological surveys and mineral development assistance,
745937,peat fuel processing research,
746035,investigation of Saskatchewan sodium sulphate deposits,
745865,regulation and transport of explosives,
746021,federal oil production bounties,
746249,Geological Survey and Mines branch publication costs,
745814,parliamentary procedure regarding departmental estimates,
745831,Vancouver harbour Spillers elevator lease documents,
746024,government concealment of official reports,
745929,government assay services for independent prospectors,
745900,government mineral testing and assaying services,
746241,disclosure of government report on industry bounties,
746060,ore dressing plant construction,
745932,commercial production of peat fuel,
745959,government support for mining prospectors,
746027,disclosure of departmental oil field reports,
746023,disclosure of confidential departmental reports,
746089,government assistance for prospectors,
746254,government printing and distribution of publications,
746127,vancouver government assay office operations,
746225,government non-disclosure of departmental oil reports,
745899,development of ore dressing plants for minerals,
746173,geological and topographical survey expenditures,
746090,government assistance for mineral prospectors,
746224,flooding of land and town business interests,
746080,establishment of a British Columbia ore testing plant,
746293,agricultural research and inspection funding,
746294,agricultural pest and rust control research,
746278,compassionate allowance for Harold Kohl's widow,
746219,petroleum production bounty and field operations,
746297,wheat rust research and control,
746298,wheat rust control and resistant crop varieties,
746337,tuberculosis eradication research,
746309,excessive government spending on public buildings,
746331,Manitoba agricultural administrative agreement,
746300,eradication of wheat stem rust,
746307,Manitoba agricultural plant expansion expenditures,
746324,expenditure on public buildings,
746308,construction of agricultural research facilities,
746295,agricultural pest and disease control programs,
744618,administrative costs of the Department of Soldiers' Civil Re-establishment,
746311,agricultural education and research infrastructure,
746347,Department of Agriculture travelling expenses,
746301,construction of agricultural research laboratory in Winnipeg,
746043,government assistance for mineral prospectors,
746353,government departmental spending efficiency,
746346,construction of government office space,
746314,construction of agricultural laboratory facilities,
746350,department of agriculture travel and salary expenses,
746325,agricultural research facility partnership with Manitoba,
746349,department of agriculture travelling expense audit,
746302,agricultural laboratory research funding,
746370,wheat rust research funding,
746425,department of agriculture budget expenditures,
746372,wheat rust research funding,
746420,Department of Agriculture printing expenditures,
746375,departmental travel expenditure oversight,
746354,consolidation of agricultural inspection duties,
746460,potato export market statistics,
746497,tribute to the late T. H. Thompson,
746496,tribute to Thomas Henry Thompson,
746459,agricultural crop statistics reporting,
746498,tribute to T. H. Thompson,
746596,reduction of militia department overhead costs,
746443,International Institute of Agriculture funding,
746604,appropriations for artillery branch of military,
744486,taxation of creamery and produce receipts,
746449,International Institute of Agriculture statistics,
746589,department of national defence personnel and expenditures,
746534,Canadian National Railways executive salary disclosure,
746619,reduction of national defence expenditures,
746567,export of hydroelectric power from St. John River,
746630,establishment of a reserve air arm,
746407,distribution of agricultural bulletins,
746462,New Brunswick potato market regulation,
746489,Bridge River Power Company licensing correspondence,
746533,disclosure of Canadian National Railways executive salaries,
746612,national defence policy and obligations,
746524,Vancouver grain elevator construction,
746602,funding for militia artillery units,
746527,Saskatchewan customs revenue statistics,
746597,national defence budget and military preparedness,
746696,Department of National Defence salary estimates,
746607,national defence budget reductions,
746550,grain screening quality regulations,
746695,departmental staff reduction and administrative efficiency,
746728,civil service departmental transfers and appointments,
746605,funding for canadian militia training,
746739,civil service employment records and dismissals,
746727,civil service administrative reorganization and personnel costs,
746634,investigation of military forgery allegations,
746685,departmental budget staff reductions,
746608,canadian military defence policy,
746636,criticism of military preparedness policies,
746638,risk of future international military conflict,
746709,civil service reorganization,
746633,redress for grievances of military personnel,
746603,national defence expenditure and artillery training,
746650,department of national defence civil service salaries,
746543,establishment of a Canadian envoy to the United States,
746629,militia funding and artillery training costs,
746710,department of the interior administrative efficiency,
746802,promotion of the canadian tourist industry,
746776,regulation of civil servant travelling expenses,
746777,government travel expense auditing,
746770,industrial survey assistance to municipalities,
746801,coordination of national tourist advertising campaigns,
746804,national tourism promotion strategy,
746910,Netherlands trade treaty interpretation,
746803,national tourist advertising policy,
746336,agricultural wheat rust research funding,
745746,hydroelectric power export licensing application,
746914,Canada-Netherlands trade treaty provisions,
746874,Canada-Netherlands trade convention tariff provisions,
746794,astronomical research funding and results,
746929,shipping contract negotiations,
746757,civil service salary grievances,
746886,Canada-Netherlands trade agreement preferences,
746907,legal interpretation of legislation,
746805,government promotion of Canadian tourism,
746965,Bengough-Willowbunch railway line construction,
746903,interpretation of foreign country in trade agreement,
746980,railway construction delays,
746969,construction of Bengough-Willowbunch railway branch lines,
746585,Canada Grain Act amendments,
746889,interpretation of Canada-Netherlands trade agreement provisions,
746916,Canada-Netherlands trade agreement tariff provisions,
746811,promotion of maritime provinces for tourism,
746954,Canadian National Railways bond financing and advances,
746911,Canada-Netherlands trade convention legislation,
746915,Canada-Australia trade treaty most-favoured-nation clauses,
746993,government railway financial guarantees and debt,
746974,Rosedale southeasterly railway line construction,
746986,government guarantee for railway bonds,
746982,Canadian National Railway bond guarantees,
747009,government railway financial reporting methods,
746988,Canadian Northern railway branch line financing,
746827,centralisation of departmental legal services,
747040,stamp tax on business statements,
746946,Canadian National Railways financing and bond guarantees,
746999,railway expansion in southern Saskatchewan,
746961,Canadian National Railway financial reporting,
747146,stamp tax on dividend transactions,
747126,stamp tax on monthly business statements,
746555,Kootenay Flats land reclamation project,
747142,taxation of credit item statements,
746751,transfer of departmental staff members,
747164,stamp tax requirements on retail receipts,
747098,stamp taxes on stock market transactions,
746032,government transparency regarding departmental reports,
747144,stamp tax on statements of account,
747182,Chicago Drainage Canal water diversion,
747158,repeal of the stamp tax regulation,
747145,stamp tax enforcement and evasion,
747200,export of hydroelectric power from Carillon,
747127,receipt tax collection and enforcement,
747128,stamp tax on business receipts,
747210,exportation of electrical power,
747177,income tax exemption for Yukon officials,
747181,Chicago drainage canal water diversion,
747224,Carillon power development rights,
746958,financing of Canadian National Railways bonds,
747212,government hydraulic power lease contract,
746628,reduction of national defence expenditures,
745674,Carillon power development lease,
747108,taxation of bank promissory notes,
747308,export of hydroelectric power to United States,
747269,tabling of government departmental documents,
747192,export of Carillon hydroelectric power,
747201,applications for the export of electric power,
747290,export of electrical power,
747277,renewal of railway power lease,
747280,proposed lease for department of railways and canals,
747271,Carillon canal hydroelectric power development leases,
747242,hydroelectric power development and supply regulations,
747297,export of surplus hydroelectric power,
747275,Carillon hydroelectric power lease and export regulations,
747309,export of electrical power licenses,
747318,export of hydroelectric power,
747302,export of hydroelectric power,
747354,export of surplus hydroelectric power,
747325,export licenses for hydroelectric power,
747043,stamp tax on grain tickets,
747261,government procedure regarding departmental applications,
747347,exportation of surplus hydroelectric power,
747340,export of electrical power,
747351,exportation of surplus electric energy,
747414,hydroelectric power exports,
747327,application for export of Carillon power,
747411,Carillon water-power development and power export,
747410,hydroelectric power export regulations,
747408,regulation and conservation of hydroelectric power exports,
747358,hydro-electric power development and distribution,
747413,Carillon water-power development scheme,
747343,export of hydroelectric power,
747166,cheque stamp tax evasion,
747392,Carillon power development and monopoly influence,
747401,Carillon hydro-electric power development project,
747433,Carillon power development and electricity export policy,
747420,long-term industrial property lease agreement,
747432,government land lease application status,
747418,export of electric power,
747329,government corruption and patronage allegations,
747366,misuse of the term national for corporations,
747457,hydroelectric power export rates,
747447,government policy on power export licensing,
747038,taxation of cream tickets,
747527,export of hydroelectric power licenses,
747445,issuance of annual government licenses,
747541,export of electric power regulations,
747382,hydroelectric power development projections,
747512,export of hydroelectric power to the United States,
747553,federal regulatory power over industry,
747488,government licensing policy,
747474,export of hydroelectric power,
747407,National Hydro Electric Company electricity project,
747604,export of electrical power licenses,
747587,export of electrical power,
747549,hydroelectric power export policy,
747521,export of hydroelectric power to the United States,
747559,export of electrical power,
747378,Carillon power export and electrical monopolies,
747523,export of Canadian electric power,
747607,application of government contract regulations,
747525,exportation of hydroelectric power,
747487,export of hydroelectric power to the United States,
747599,regulation of hydroelectric power exports and pricing,
747384,quebec electric power monopoly,
747508,federal policy on electric power export,
747496,Chicago diversion of lake water for power,
747606,regulation of electrical energy export prices,
747475,export of Canadian hydro-electric power,
747529,railway license regulations,
747672,ministerial misrepresentation of government documents,
747545,export license policy,
747711,government budgetary estimation practices,
747705,administration of the Calder Act,
747707,immigration department salary estimates,
747674,denial of misleading the House regarding departmental reports,
747702,government civil service superannuation expenditures,
747708,government civil service salary estimates,
747380,export of hydroelectric power to the United States,
747693,civil service departmental staffing reorganization,
747077,taxation on bank cheques,
747775,civil service salary appropriation procedures,
747723,retirements under the Calder Act,
747774,government budget estimates,
747704,misleading reporting of departmental expenditure estimates,
747601,hydro-electric power export and lease agreements,
747244,export of hydroelectric power at Carillon,
747608,hydro-electric power development and exportation,
747743,immigration department budgetary estimates,
747742,government budgetary estimation practices,
747471,regulation and export of hydroelectric power,
747820,emigration of Canadians to the United States,
747724,public service retirement and superannuation,
747779,civil service salary reclassification,
747612,prohibition of electric power export licenses,
747750,budgetary estimates and salary deductions,
747854,statistical analysis of emigration to the United States,
747776,federal budgetary accounting procedures,
747845,United States labour department immigration statistics,
747811,emigration of Canadians to the United States,
747715,civil service retirement and the Calder Act,
747858,discrepancies between census and immigration statistics,
747778,immigration department budget estimates bookkeeping,
747785,civil service re-classification and salary adjustments,
747839,Canada-United States migration statistics,
747852,Canadian emigration to the United States,
747777,civil service re-classification and salary adjustments,
747809,Canadian emigration statistics to the United States,
747822,emigration of Canadians to the United States,
747824,repatriation of canadians from the united states,
747791,canadian emigration statistics to the United States,
747789,canadian emigration to the united states,
747427,hydroelectric power license renewal,
747836,emigration due to unemployment and tariff policy,
747860,emigration of Canadians to the United States,
747826,emigration of Canadian workers to the United States,
747924,immigration service estimates and border smuggling,
747861,duplication of government and railway immigration activities,
747733,civil service superannuation and departmental estimates,
747893,federal responsibility for destitute immigrants,
747903,screening of british immigrants,
747842,emigration of canadians to the United States,
747967,resignation of the Solicitor General,
747874,immigration policy and naturalization procedures,
747892,repatriation of Canadians and naturalization laws,
747882,government spending on immigration promotion,
747865,misleading government immigration recruitment practices,
747987,harbour maintenance and improvements,
747926,immigration policy and government expenditure,
747936,unemployment relief for new immigrants,
748007,Blind River harbour dredging improvements,
747950,immigration policy and domestic economic conditions,
747897,government responsibility for immigrant relief,
747914,government responsibility for destitute immigrants,
747935,labour shortages and immigration policy,
747951,immigration department budget estimates,
747919,unemployment and farm labour shortages,
747910,opposition to unemployment doles,
747958,immigration department neutrality between competing railways,
747973,alleged government agreement with brewers,
748023,parliamentary wharf construction and dredging estimates,
747959,duplication in immigration and colonization services,
747942,cessation of government immigration propaganda,
747957,Canadian National Railway administrative expenditures,
748092,economic conditions in Canada,
748078,St. Lawrence river canal development,
747989,harbour and wharf repair projects,
748066,government funding for public works projects,
748080,reduction of government public works expenditure,
748302,government funding for tourist infrastructure,
747905,government responsibility for immigrant relief,
748229,Goderich harbour grain storage improvements,
748226,allocation of harbour improvement funds,
748298,Muskoka district steamboat and tourist infrastructure,
748060,dredging of the Great Lakes channel,
748082,curtailment of federal public works expenditure,
748072,public works funding for maritime rural communities,
748094,government expenditure on public works projects,
748122,curtailment of government public works expenditures,
748083,curtailment of public works expenditures,
748117,public funding for private warehouses,
748311,Kincardine harbour infrastructure repairs,
747883,repatriation and naturalization of Canadians,
748098,grain transportation and railway freight rates,
748106,maintenance of wharf infrastructure,
748317,Kincardine harbour repairs and dredging,
748073,Great Lakes water diversion and dredging expenditure,
