topic,category,error
Ministerial association with Roy Furmark,Government & Electoral Affairs,
fisheries fleet expansion and excess capacity,"Sectoral Policy: Resources, Agriculture & Transport",
salmon fishery fleet rationalization,"Sectoral Policy: Resources, Agriculture & Transport",
Fisheries Improvement Loans Act defaults,"Sectoral Policy: Resources, Agriculture & Transport",
Fisheries Improvement Loans Act review,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries protection and small craft harbours,"Sectoral Policy: Resources, Agriculture & Transport",
coastal fisheries protection and management,"Sectoral Policy: Resources, Agriculture & Transport",
fishery enforcement and observers,"Sectoral Policy: Resources, Agriculture & Transport",
Coastal Fisheries Protection Act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
strategic defence initiative and ABM treaty,Defence & National Security,
National Transportation Act air carrier acquisitions,"Sectoral Policy: Resources, Agriculture & Transport",
National Research Council budget reallocation,Government & Electoral Affairs,
standing committees and parliamentary reform,Parliamentary Procedure,
patent drug legislation and free trade,Trade & Foreign Affairs,
sales and excise tax changes for deficit reduction,Taxation,
Japanese building code changes for lumber sales,Trade & Foreign Affairs,
regional economic disparity in government projects,Economy & Public Finance,
Auditor General testimony on Port-Cartier prison,Government & Electoral Affairs,
citizenship court appointments scrutiny,"Justice, Rights & Immigration",
Trudeau peace mission vs international summits,Trade & Foreign Affairs,
Mirabel-Dorval airport administration,"Sectoral Policy: Resources, Agriculture & Transport",
grouping of report stage motions on income tax act amendment,Parliamentary Procedure,
SSHRC eligibility for R and D tax credits,Taxation,
matching grants for research and private sector,Economy & Public Finance,
regional bias in research funding,Economy & Public Finance,
concentration of research in Canada,Economy & Public Finance,
flow-through shares and tax reform,Taxation,
oil and gas industry job losses,"Sectoral Policy: Resources, Agriculture & Transport",
energy policy and security of supply,"Sectoral Policy: Resources, Agriculture & Transport",
oil and gas taxation and industry support,"Sectoral Policy: Resources, Agriculture & Transport",
pre-incorporation agreement and directors' duties,"Justice, Rights & Immigration",
Vieux-Port de Quebec investments and university,"Sectoral Policy: Resources, Agriculture & Transport",
support for the Canadian Wheat Board,"Sectoral Policy: Resources, Agriculture & Transport",
Ontario resolution on Canadian Charter of Rights,Constitutional & Intergovernmental Relations,
private members' hour rights,Parliamentary Procedure,
generic drug legislation petitions,"Justice, Rights & Immigration",
committee quorum for statutory instruments,Parliamentary Procedure,
committee quorum for regulations and statutory instruments,Parliamentary Procedure,
House committee rules and procedure,Parliamentary Procedure,
capital gains tax exemption and minimum tax,Taxation,
federal sales tax child credit,Taxation,
corporate tax rate and reinvestment,Taxation,
corporate tax rates and business reinvestment,Taxation,
child tax credit and federal sales tax credit,Taxation,
deficit reduction and low income Canadians,Economy & Public Finance,
income tax reform and economic recovery,Economy & Public Finance,
RRSP deduction and sales tax credit,Taxation,
native land claims policy,"Justice, Rights & Immigration",
Special Canadian Grains Program payments,"Sectoral Policy: Resources, Agriculture & Transport",
farm debt review boards and farm improvement loans,"Sectoral Policy: Resources, Agriculture & Transport",
farm support program expenditures,"Sectoral Policy: Resources, Agriculture & Transport",
grain producer financial assistance estimates,"Sectoral Policy: Resources, Agriculture & Transport",
definition of average farmer income,"Sectoral Policy: Resources, Agriculture & Transport",
Import Tribunal and corn countervail duties,Trade & Foreign Affairs,
Canadair Limited Divestiture Authorization Act,"Sectoral Policy: Resources, Agriculture & Transport",
privatization of Canadair and public ownership,"Sectoral Policy: Resources, Agriculture & Transport",
unemployment insurance premium rate and entrance requirements,Social Policy,
federal government offer on social program funding,Social Policy,
freedom of citizens to contribute to causes,"Justice, Rights & Immigration",
RCMP official languages policy,Government & Electoral Affairs,
ministerial statement time limits,Parliamentary Procedure,
screening of Citizenship Court judges,"Justice, Rights & Immigration",
legislative committee procedure reform,Parliamentary Procedure,
unemployment insurance program and Forget Report,Social Policy,
Senate reform and its impact on youth,Government & Electoral Affairs,
Senate reform recommendations,Government & Electoral Affairs,
Sakharov's return from exile,Trade & Foreign Affairs,
unemployment insurance benefits for early retirees,Social Policy,
US interference in Canadian auto subsidies,Trade & Foreign Affairs,
taxation of northern housing benefits,Taxation,
guaranteed annual income and national priorities,Social Policy,
surtax on working poor,Taxation,
spouse's allowance eligibility,Social Policy,
spouse's allowance and poverty reduction,Social Policy,
unemployment and economic development in Newfoundland,Economy & Public Finance,
federal and provincial social assistance,Social Policy,
poverty and violence,Social Policy,
Canada's sovereignty in the North,Trade & Foreign Affairs,
Canada Post rural delivery response,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Post rural office amalgamations and newspaper rates,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Post supermailbox and rate increase,"Sectoral Policy: Resources, Agriculture & Transport",
rescind tariff on imported books,Trade & Foreign Affairs,
food irradiation regulations and public consultation,"Sectoral Policy: Resources, Agriculture & Transport",
elimination of petroleum and gas revenue tax,Taxation,
oil industry reinvestment of PGRT savings,Economy & Public Finance,
unemployment insurance policy,Social Policy,
variable entrance requirements for unemployed,Social Policy,
variable entrance requirement legislation,Social Policy,
national transportation act second reading,"Sectoral Policy: Resources, Agriculture & Transport",
rail and truck safety legislation,"Sectoral Policy: Resources, Agriculture & Transport",
safety in the national transportation act,"Sectoral Policy: Resources, Agriculture & Transport",
transportation policy and regional economic development,"Sectoral Policy: Resources, Agriculture & Transport",
transportation assistance programs and regional development,"Sectoral Policy: Resources, Agriculture & Transport",
air transport deregulation and competition,"Sectoral Policy: Resources, Agriculture & Transport",
railway and trucking industry regulation,"Sectoral Policy: Resources, Agriculture & Transport",
trucking industry deregulation and new agency,"Sectoral Policy: Resources, Agriculture & Transport",
transportation legislation and dispute resolution,"Sectoral Policy: Resources, Agriculture & Transport",
"National Transportation Act, 1986","Sectoral Policy: Resources, Agriculture & Transport",
refugee transportation loan fund expansion,"Justice, Rights & Immigration",
definition of ministerial record,Parliamentary Procedure,
National Archives of Canada Act amendments,Government & Electoral Affairs,
House recall and government business,Parliamentary Procedure,
Senate passage of government bills,Parliamentary Procedure,
adjournment and sitting schedule,Parliamentary Procedure,
Christmas and New Year wishes,Parliamentary Procedure,
Ways and Means motion introduction,Parliamentary Procedure,
softwood lumber Ways and Means motion,Taxation,
clarification of international trade agreement,Trade & Foreign Affairs,
funding for National Research Council,Economy & Public Finance,
consulting expenses and employee salaries,Economy & Public Finance,
transfer of government office operations,Government & Electoral Affairs,
adjournment motion on softwood lumber export tax,Taxation,
adjournment motion on auto pact,Trade & Foreign Affairs,
federal funding for Joey Smallwood's encyclopaedia,Social Policy,
softwood lumber export tax revenues,Taxation,
Canadian sovereignty and Conservative Party history,Constitutional & Intergovernmental Relations,
Auto Pact negotiations,Trade & Foreign Affairs,
RCM Police investigation of impropriety allegations,"Justice, Rights & Immigration",
departmental communications unit for trade issues,Trade & Foreign Affairs,
free trade advertising spending,Trade & Foreign Affairs,
emergency debate on Canada-US trade,Trade & Foreign Affairs,
resignation of Member of Parliament,Parliamentary Procedure,
parliamentary procedure and recognition,Parliamentary Procedure,
softwood lumber agreement with the US,Trade & Foreign Affairs,
Softwood Lumber Products Export Charge Act,Taxation,
forest industry export levy and job losses,Taxation,
softwood lumber agreement jobs,Trade & Foreign Affairs,
forestry industry stock performance,"Sectoral Policy: Resources, Agriculture & Transport",
softwood lumber dispute and trade treaty,Trade & Foreign Affairs,
arrangements for tribute to deceased,Parliamentary Procedure,
softwood lumber export charge and US agreement,Taxation,
US lumber export charge interpretation,Trade & Foreign Affairs,
softwood lumber export charge agreement,Taxation,
Canada-U.S. lumber trade dispute,Trade & Foreign Affairs,
free trade agreement with the United States,Trade & Foreign Affairs,
softwood lumber dispute with US,Trade & Foreign Affairs,
softwood lumber export tax and stumpage fees,Taxation,
Softwood Lumber Products Export Charge Act negotiations,Taxation,
Canadian sovereignty and economic independence,Constitutional & Intergovernmental Relations,
softwood lumber export tax amendment,Taxation,
statues of former prime ministers,Government & Electoral Affairs,
honouring notable Canadians with statues,Government & Electoral Affairs,
statue for Lester B. Pearson,Government & Electoral Affairs,
export tax impact on forest industry,Taxation,
Michelin case and US countervail on Canadian tires,Trade & Foreign Affairs,
Canada-US auto pact and sovereignty,Trade & Foreign Affairs,
US-Canada trade relations and steel tariffs,Trade & Foreign Affairs,
Canada-US softwood lumber export negotiations,Trade & Foreign Affairs,
US lumber tariffs and sovereignty concerns,Trade & Foreign Affairs,
softwood lumber exports and Canadian sovereignty,Trade & Foreign Affairs,
softwood lumber trade with US,Trade & Foreign Affairs,
appointment process for human rights tribunal,"Justice, Rights & Immigration",
federal government funding for women's groups,Social Policy,
welcome back to session,Parliamentary Procedure,
Farm Debt Review Bill effectiveness report,"Sectoral Policy: Resources, Agriculture & Transport",
US countervail case on Canadian lumber exports,Trade & Foreign Affairs,
countervailing duty issue with the United States,Trade & Foreign Affairs,
shakes and shingles countervail duty,Trade & Foreign Affairs,
US lumber export exemptions for New Brunswick,Trade & Foreign Affairs,
softwood lumber export charge,Taxation,
effect of tax on housing starts,Taxation,
softwood lumber export charge to US,Taxation,
softwood lumber deal and sovereignty,Trade & Foreign Affairs,
US approval of Canadian stumpage programs,Trade & Foreign Affairs,
softwood lumber export tax,Taxation,
impact of government policy on lumber industry profits,Taxation,
lumber export market access and job losses,Trade & Foreign Affairs,
softwood lumber settlement criticism,Trade & Foreign Affairs,
Employment Support Act for harmed industries,Social Policy,
lumber industry employment and productivity,"Sectoral Policy: Resources, Agriculture & Transport",
refugee services and confidentiality,"Justice, Rights & Immigration",
government expenditure restraint program,Economy & Public Finance,
public service job reassignment and severance,Government & Electoral Affairs,
government expenditure restraint and reduction,Economy & Public Finance,
government economic leadership and inflation,Economy & Public Finance,
unemployment and budget deficit,Economy & Public Finance,
anti-inflation program and government spending,Economy & Public Finance,
Treasury Board spending and waste,Economy & Public Finance,
government waste and mismanagement,Government & Electoral Affairs,
anti-inflation program expenditures,Economy & Public Finance,
tabling of the Blue Book,Economy & Public Finance,
CNR borrowing and government expenditures,Economy & Public Finance,
public service decentralization and employment,Government & Electoral Affairs,
reduction in public service growth rate,Government & Electoral Affairs,
family allowances and cost of living,Social Policy,
budgetary spending increase,Economy & Public Finance,
indexing family allowances,Social Policy,
pulp and paper industry labour disputes,"Sectoral Policy: Resources, Agriculture & Transport",
compensation for Reader's Digest minority shareholders,Economy & Public Finance,
export projections and economic upturn,Trade & Foreign Affairs,
export community profit margins,Trade & Foreign Affairs,
rail passenger services policy,"Sectoral Policy: Resources, Agriculture & Transport",
export industry growth and foreign markets,Trade & Foreign Affairs,
foreign investment review agency recommendation,Trade & Foreign Affairs,
radioactive material dumping in Port Hope,"Sectoral Policy: Resources, Agriculture & Transport",
interim board of directors for aerospace industry,"Sectoral Policy: Resources, Agriculture & Transport",
immigration and national security statistics,"Justice, Rights & Immigration",
public works expenditures and construction projects,Economy & Public Finance,
public service employment statistics,Government & Electoral Affairs,
order of business for bills before adjournment,Parliamentary Procedure,
public housing and rental accommodation,Social Policy,
unemployment insurance benefit changes,Social Policy,
scheduling of house business,Parliamentary Procedure,
parliamentary remuneration and consultation,Parliamentary Procedure,
illegal storage of U.S. buckwheat,"Sectoral Policy: Resources, Agriculture & Transport",
question of privilege budget leak,Parliamentary Procedure,
parliamentary salaries and caucus consultation,Parliamentary Procedure,
caucus consultation on expenditure cuts,Parliamentary Procedure,
consultation on member salaries,Parliamentary Procedure,
question of privilege and ministerial assurance,Parliamentary Procedure,
question of privilege and parliamentary language,Parliamentary Procedure,
public servants' conduct,Government & Electoral Affairs,
appeal of sugar judgment,"Justice, Rights & Immigration",
unparliamentary remarks and judicial conduct,Parliamentary Procedure,
point of order ruling on minister's remarks,Parliamentary Procedure,
point of order on member's statement,Parliamentary Procedure,
relevancy of amendments to amending bills,Parliamentary Procedure,
validity of proposed amendments,Parliamentary Procedure,
unanimous consent for out-of-order motions,Parliamentary Procedure,
public service pension and benefit plan amendments,Social Policy,
amendments to superannuation and pension acts,Social Policy,
public service pension escalation anomaly,Social Policy,
pension escalation and retirement dates,Social Policy,
public service survivor benefits,Social Policy,
public service survivor benefits equality,Social Policy,
superannuation acts and pensions,Social Policy,
members of parliament pay and inflation,Parliamentary Procedure,
reverting to motions,Parliamentary Procedure,
members' pensions and government salaries,Parliamentary Procedure,
parliamentary retirement pension escalation,Parliamentary Procedure,
members of parliament pension reform,Parliamentary Procedure,
Senate message on bills passed,Parliamentary Procedure,
provincial agreements on Section 4 Subsection 3,Constitutional & Intergovernmental Relations,
anti-inflation program public acceptance,Economy & Public Finance,
auto pact parity with US,Trade & Foreign Affairs,
auto pact assessment and parity,Trade & Foreign Affairs,
consumer education on fair value,Economy & Public Finance,
CMHC housing warranty scheme,Social Policy,
CMHC housing standards and provincial schemes,Social Policy,
money supply growth and inflation,Economy & Public Finance,
aerospace industry restructuring and employee meeting,"Sectoral Policy: Resources, Agriculture & Transport",
disclosure of candidate information,Government & Electoral Affairs,
appointment of postmaster at St-Luc de Vincennes,Government & Electoral Affairs,
election financing reports and tax deductions,Taxation,
Criminal Code amendments on juries and bail,"Justice, Rights & Immigration",
causes of crime and highway safety,"Justice, Rights & Immigration",
highway safety and impaired driving,"Justice, Rights & Immigration",
government consideration of legislation,Parliamentary Procedure,
Minister of Justice ordering new trials,"Justice, Rights & Immigration",
veterans benefits and POW compensation,Defence & National Security,
National Film Board and CBC finances,Government & Electoral Affairs,
Transport Canada Lockheed Jetstar CF-DTF costs,Economy & Public Finance,
CBC French-language broadcasting expansion in Alberta,Government & Electoral Affairs,
stimulating industrial investment,Economy & Public Finance,
blue tongue disease in livestock,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries protection negotiations,"Sectoral Policy: Resources, Agriculture & Transport",
unemployment and manpower programs in Cape Breton,Social Policy,
spruce budworm funding and research,"Sectoral Policy: Resources, Agriculture & Transport",
international economic co-operation conference,Trade & Foreign Affairs,
order of business for medical care act,Parliamentary Procedure,
appointment of Roger Desmarais,Government & Electoral Affairs,
"Mission, B.C. institution construction costs",Economy & Public Finance,
government borrowing and marketable bonds,Economy & Public Finance,
ocean dumping control act permits,"Sectoral Policy: Resources, Agriculture & Transport",
canal capital costs and revenue,"Sectoral Policy: Resources, Agriculture & Transport",
railway passenger service policy,"Sectoral Policy: Resources, Agriculture & Transport",
revitalizing rail passenger service,"Sectoral Policy: Resources, Agriculture & Transport",
intercity and transcontinental rail transportation,"Sectoral Policy: Resources, Agriculture & Transport",
railway equipment and management incentives,"Sectoral Policy: Resources, Agriculture & Transport",
railway passenger and freight service,"Sectoral Policy: Resources, Agriculture & Transport",
municipal commuter rail services,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Pension Plan review committee appeals,Social Policy,
Canada Pension Plan appeal process,Social Policy,
Canada Pension Plan appeals to Pension Appeals Board,Social Policy,
Canada Pension Plan disability appeal procedure,Social Policy,
Medical Care Act expenditures and efficiency,Social Policy,
oil price cushioning and electricity generation,"Sectoral Policy: Resources, Agriculture & Transport",
government support for amateur hockey,Social Policy,
anti-inflation program wage controls,Economy & Public Finance,
human rights and resettlement from Chile,"Justice, Rights & Immigration",
Canadian capital markets and Wall Street,Economy & Public Finance,
200-mile fishing limit enforcement,"Sectoral Policy: Resources, Agriculture & Transport",
naming of the capital city,Government & Electoral Affairs,
supplementary question discretion,Parliamentary Procedure,
Speaker's ruling on supplementary questions,Parliamentary Procedure,
national capital policy and procedure,Government & Electoral Affairs,
CIDA contract work assigned to Canadian universities,Trade & Foreign Affairs,
CIDA cooperation with Cuba,Trade & Foreign Affairs,
government EDP expenditures and personnel,Government & Electoral Affairs,
Public Service Commission French immersion course costs,Government & Electoral Affairs,
Canadian participation in US Bicentennial,Trade & Foreign Affairs,
nuclear co-operation agreements with Korea and Argentina,Trade & Foreign Affairs,
nuclear reactor sales and proliferation risks,Trade & Foreign Affairs,
House recess at one o'clock,Parliamentary Procedure,
financing of reactor for Republic of Korea,Trade & Foreign Affairs,
nuclear technology safeguards and proliferation,Trade & Foreign Affairs,
nuclear non-proliferation and safeguards,Trade & Foreign Affairs,
Canada's nuclear agreement with South Korea,Trade & Foreign Affairs,
nuclear reactor safety and safeguards,Trade & Foreign Affairs,
Canada's role in Argentina's nuclear program,Trade & Foreign Affairs,
amendments to the Medical Care Act,Social Policy,
federal-provincial health care negotiations,Social Policy,
federal-provincial hospital plan cost sharing,Social Policy,
federal contribution to medicare costs,Social Policy,
increase quorum for sittings of the House of Commons,Parliamentary Procedure,
quorum size in the House of Commons,Parliamentary Procedure,
increasing House of Commons quorum,Parliamentary Procedure,
quorum and attendance in the House,Parliamentary Procedure,
quorum rules in parliamentary bodies,Parliamentary Procedure,
parliamentary procedure and chamber design,Parliamentary Procedure,
parliamentary attendance and quorum,Parliamentary Procedure,
parliamentary procedure and constituency work,Parliamentary Procedure,
improving private members' opportunities,Parliamentary Procedure,
improving parliamentary rules and amenities,Parliamentary Procedure,
reform of House of Commons rules,Parliamentary Procedure,
parliamentary reform and members' duties,Parliamentary Procedure,
House of Commons time allocation,Parliamentary Procedure,
limiting debate and speech length,Parliamentary Procedure,
quorum and recorded votes,Parliamentary Procedure,
quorum and parliamentary procedure,Parliamentary Procedure,
withholding rail passenger policy implementation,"Sectoral Policy: Resources, Agriculture & Transport",
lobster fishing restrictions in Nova Scotia,"Sectoral Policy: Resources, Agriculture & Transport",
radioactive clean up responsibility,"Sectoral Policy: Resources, Agriculture & Transport",
seat of government and national capital,Government & Electoral Affairs,
ministerial undertakings and supplementary questions,Parliamentary Procedure,
public access to ministerial answers,Parliamentary Procedure,
procedure for tabling information in the House,Parliamentary Procedure,
CMHC legal fees for mortgage processing and defaults,Government & Electoral Affairs,
Telesat Canada financial and service details,"Sectoral Policy: Resources, Agriculture & Transport",
Manpower Centre job placements,Social Policy,
reported job openings by company,Social Policy,
reported job openings and placements by company,Social Policy,
medicare cost and utilization statistics,Social Policy,
federal contributions to provincial medical care plans,Social Policy,
RCMP investigation practices and fairness to members,"Justice, Rights & Immigration",
RCMP investigation of Mitchell Bronfman,"Justice, Rights & Immigration",
unemployment on Cape Breton Island,Social Policy,
"Canada-US beef, veal, and egg trade agreements",Trade & Foreign Affairs,
Canada's position on Angola,Trade & Foreign Affairs,
Angolan developments and Cuban participation,Trade & Foreign Affairs,
Petro-Canada oil purchases from Venezuela,"Sectoral Policy: Resources, Agriculture & Transport",
Petro-Canada and Venezuelan oil supply,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian aid to Egypt and Indonesia,Trade & Foreign Affairs,
economic assistance to the middle east,Trade & Foreign Affairs,
parliamentary privilege and civil writ,Parliamentary Procedure,
question of privilege on building access,Parliamentary Procedure,
mail bag theft and Air Canada responsibility,"Sectoral Policy: Resources, Agriculture & Transport",
travel expenses of Prime Minister's family,Government & Electoral Affairs,
Public Works lease of Greenwood Cheese Factory,Government & Electoral Affairs,
accommodation for experimental animals,Government & Electoral Affairs,
grouping of report stage motions,Parliamentary Procedure,
procedural regularity of motions,Parliamentary Procedure,
Canadian digest ownership and content rules,Government & Electoral Affairs,
advertising regulations interpretation,Government & Electoral Affairs,
"definition of ""substantially different"" for tax credits",Taxation,
arbitrary administration of broadcasting law,Government & Electoral Affairs,
tax benefits for Canadian publications,Taxation,
taxation of Canadian periodicals,Taxation,
non-Canadian publications tax deductibility,Taxation,
Income Tax Act foreign publication content rules,Taxation,
"Income Tax Act interpretation of ""substantially different",Taxation,
ministerial interpretation of statutes,Parliamentary Procedure,
tax deductions for advertising in foreign magazines,Taxation,
free enterprise and standard of living,Economy & Public Finance,
Anti-Inflation Board investigation of Loblaws pricing,Economy & Public Finance,
Canada-Venezuela oil discussions,"Sectoral Policy: Resources, Agriculture & Transport",
Canada's oil supply and Venezuela,"Sectoral Policy: Resources, Agriculture & Transport",
Canada-Venezuela relations and oil supply,Trade & Foreign Affairs,
Venezuelan oil supply and Petro-Canada delegation,"Sectoral Policy: Resources, Agriculture & Transport",
radioactivity and residue disposal in Port Hope,"Sectoral Policy: Resources, Agriculture & Transport",
Canada's membership in Latin American organization,Trade & Foreign Affairs,
lobster fishery policy,"Sectoral Policy: Resources, Agriculture & Transport",
Solicitor General's misleading answer on Liberal party fund raising,Parliamentary Procedure,
discussion of matters before the courts,"Justice, Rights & Immigration",
armed forces assistance and Olympic games funding,Defence & National Security,
government departments and accommodation in Vanier,Government & Electoral Affairs,
list of places,Government & Electoral Affairs,
Income Tax Act amendment on advertising expenses,Taxation,
"Income Tax Act, Time magazine and Reader's Digest",Taxation,
ministerial independence from civil service,Government & Electoral Affairs,
Reader's Digest memorandum and government compromise,Taxation,
non-Canadian publications,Taxation,
Canadian periodical ownership and advertising support,Taxation,
magazine publishing and foreign ownership,Taxation,
Canadian periodical tax status and cultural definition,Taxation,
Canadian magazine content policy,Taxation,
"definition of ""substantially the same"" for magazines",Taxation,
family allowances escalation,Social Policy,
first ministers' meeting on provincial relations,Constitutional & Intergovernmental Relations,
amending formula for constitution,Constitutional & Intergovernmental Relations,
Quebec's role in constitutional discussions,Constitutional & Intergovernmental Relations,
federal-provincial conference on external affairs agreement,Constitutional & Intergovernmental Relations,
government productivity initiatives,Economy & Public Finance,
Cuban flights through Gander,Trade & Foreign Affairs,
Cuban flights to Angola,Trade & Foreign Affairs,
Northern Canada Power Commission rate increases,"Sectoral Policy: Resources, Agriculture & Transport",
prisoners of war legislation and session start date,Parliamentary Procedure,
sub judice rules and parliamentary discussion,Parliamentary Procedure,
Canadian International Development Agency funding,Trade & Foreign Affairs,
Canada's vote on UN Middle East resolution,Trade & Foreign Affairs,
Law Reform Commission report on evidence,"Justice, Rights & Immigration",
timeliness of parliamentary answers,Parliamentary Procedure,
international economic co-operation dialogue,Trade & Foreign Affairs,
Canada's position on commodity agreements,Trade & Foreign Affairs,
Canada's role in north-south development conference,Trade & Foreign Affairs,
north-south dialogue on development,Trade & Foreign Affairs,
international economic co-operation,Trade & Foreign Affairs,
Guatemala and Indonesia aid programs,Trade & Foreign Affairs,
development assistance strategy and commodity agreements,Trade & Foreign Affairs,
Canada's objective at international energy commission,Trade & Foreign Affairs,
discriminatory government actions and administrative tribunals,"Justice, Rights & Immigration",
disclosure of government consultant contracts,Government & Electoral Affairs,
public service compensation and decentralization,Government & Electoral Affairs,
magazine policy and discriminatory regulations,Taxation,
Cullen rule and magazine policy,Taxation,
waiver of 80 per cent rule for Reader's Digest,Taxation,
administrative law and natural justice,"Justice, Rights & Immigration",
federal assistance for New Brunswick fisheries damage,"Sectoral Policy: Resources, Agriculture & Transport",
disaster relief funding formula,Economy & Public Finance,
anti-inflation program implementation timeline,Economy & Public Finance,
export levy program review,Economy & Public Finance,
Ross Dam licence application and negotiations,"Sectoral Policy: Resources, Agriculture & Transport",
aid to Guatemala after tragedy,Trade & Foreign Affairs,
deductible medical expenses for income tax,Taxation,
income support and supplementation program,Social Policy,
film quotas and provincial jurisdiction,"Sectoral Policy: Resources, Agriculture & Transport",
nuclear safeguards policy,Trade & Foreign Affairs,
appointment of Mr. Gariepy to Master of the Mint,Government & Electoral Affairs,
"definition of ""substantially the same"" for periodicals",Taxation,
statutory instruments committee scope,Parliamentary Procedure,
Reader's Digest special status and statutory interpretation,Taxation,
parliamentary government and constitutional interpretation,Constitutional & Intergovernmental Relations,
Angola conflict and foreign involvement,Trade & Foreign Affairs,
government intervention in railway labour dispute,"Sectoral Policy: Resources, Agriculture & Transport",
food and blanket aid to Guatemala,Trade & Foreign Affairs,
food and medical aid to Guatemala,Trade & Foreign Affairs,
Canadian citizens in Guatemala,Trade & Foreign Affairs,
Lockheed LRPA contract negotiations,Defence & National Security,
postal workers' union rights,"Justice, Rights & Immigration",
union operations and worker intimidation,"Justice, Rights & Immigration",
environmental assessment of Beaufort Sea drilling,"Sectoral Policy: Resources, Agriculture & Transport",
CRTC television licence renewal policy,Government & Electoral Affairs,
reporting requirements for businesses,Government & Electoral Affairs,
RCMP discharge of staff sergeants,"Justice, Rights & Immigration",
sub judice rule in civil litigation,"Justice, Rights & Immigration",
Income tax deductions for Canadian publications,Taxation,
Canadian content rules for media,Taxation,
Time and Reader's Digest ruling,Taxation,
Canadian periodical licensing and content rules,Taxation,
government by interpretation vs. statute,Parliamentary Procedure,
tax benefits for Canadian periodicals,Taxation,
Income Tax Act and government procedure,Taxation,
Canadian periodical definition and government discretion,Taxation,
Canadian content in publishing industry,Taxation,
Non-Canadian Publications legislation,Taxation,
federal support for crop insurance program,"Sectoral Policy: Resources, Agriculture & Transport",
youth unemployment and job creation programs,Social Policy,
bilingual air traffic control services,"Sectoral Policy: Resources, Agriculture & Transport",
International Energy Agency long term program,Trade & Foreign Affairs,
Canada-Community trade negotiations,Trade & Foreign Affairs,
Statistics Canada data and methodology,Government & Electoral Affairs,
export of blood regulations,"Sectoral Policy: Resources, Agriculture & Transport",
food colour additives regulation,"Sectoral Policy: Resources, Agriculture & Transport",
War Veterans Allowance Act review,Social Policy,
supplementary questions and points of order,Parliamentary Procedure,
Place du Portage construction contracts and costs,Government & Electoral Affairs,
lease-purchase agreements for federal buildings,Government & Electoral Affairs,
stabilizing commodity export earnings,Economy & Public Finance,
CBC information programming policy,Government & Electoral Affairs,
CBC election coverage in British Columbia,Government & Electoral Affairs,
CBC coverage of political remarks,Parliamentary Procedure,
tourism promotion spending in United States,Trade & Foreign Affairs,
Office of Tourism promotional spending in US,Trade & Foreign Affairs,
parliamentary privilege and civil suits,Parliamentary Procedure,
matters sub judice,Parliamentary Procedure,
parliamentary privilege and plaintiff sanctions,Parliamentary Procedure,
parliamentary freedom of speech vs sub judice,Parliamentary Procedure,
parliamentary precedent and the Strode case,Parliamentary Procedure,
freedom of speech and libel actions,Parliamentary Procedure,
sub judice rule clarification,Parliamentary Procedure,
Canadian content in publications and arts,Trade & Foreign Affairs,
protecting Canadian broadcasters' income,Trade & Foreign Affairs,
protection of Canadian broadcasting industry,Trade & Foreign Affairs,
division results,Parliamentary Procedure,
division on motion No. 2,Parliamentary Procedure,
Canadian Forces tank replacement options,Defence & National Security,
Lassa fever precautions and quarantine legislation,"Justice, Rights & Immigration",
radioactive waste contamination investigation,"Sectoral Policy: Resources, Agriculture & Transport",
collective bargaining and Anti-Inflation Board,Economy & Public Finance,
Guatemalan medical aid and government response,Trade & Foreign Affairs,
Guatemalan medical assistance,Trade & Foreign Affairs,
tariff protection for footwear industry,"Sectoral Policy: Resources, Agriculture & Transport",
hospital insurance program cost sharing,Social Policy,
fisheries licence freeze and appeal boards,"Sectoral Policy: Resources, Agriculture & Transport",
road development agreement in Victoria,"Sectoral Policy: Resources, Agriculture & Transport",
freedom of information report terms of reference,Government & Electoral Affairs,
legal agents of the Minister of Justice expenses,Government & Electoral Affairs,
sub judice rule on civil matters,Parliamentary Procedure,
Standing Order 26 ruling on private sector strike,Parliamentary Procedure,
"Standing Order 26, Paper Workers' Strike jurisdiction",Parliamentary Procedure,
Standing Order 26 debate rules,Parliamentary Procedure,
Broadcasting Act amendments and foreign ownership,Trade & Foreign Affairs,
KVOS broadcasting competition and Canadian content,Trade & Foreign Affairs,
broadcasting policy and foreign ownership,Trade & Foreign Affairs,
correction of facts in previous speech,Parliamentary Procedure,
housing costs and availability,Economy & Public Finance,
Lockheed Aircraft Corporation contract,Trade & Foreign Affairs,
user charges for government services,Economy & Public Finance,
analysis of costs for air travel services,Economy & Public Finance,
union security for non-striking workers,Economy & Public Finance,
anti-inflation board housing price monitoring,Economy & Public Finance,
House business and scheduling,Parliamentary Procedure,
parliamentary procedures for document security,Parliamentary Procedure,
business of the House and Heritage Day bill,Parliamentary Procedure,
private member's bill vs government bill,Parliamentary Procedure,
Peace Tower flag security incident report,Defence & National Security,
Barbara Hepworth sculpture acquisition,Government & Electoral Affairs,
CBC coverage of W. A. C. Bennett,Parliamentary Procedure,
allotted day debate procedure,Parliamentary Procedure,
freedom of information,Government & Electoral Affairs,
