basepk,category,error
826237,Other,
826335,Infrastructure,
826219,Other,
826325,Infrastructure,
826211,Other,
826354,Infrastructure,
826349,Infrastructure,
826384,Infrastructure,
826369,Infrastructure,
826343,Infrastructure,
826388,Infrastructure,
826385,Infrastructure,
826333,Infrastructure,
826346,Infrastructure,
826360,Infrastructure,
826391,Infrastructure,
826357,Infrastructure,
826405,Infrastructure,
826358,Infrastructure,
826355,Infrastructure,
826395,Infrastructure,
826427,Infrastructure,
826398,Infrastructure,
826482,Infrastructure,
826400,Infrastructure,
826502,Infrastructure,
826422,Infrastructure,
826423,Infrastructure,
826386,Infrastructure,
826413,Infrastructure,
826479,Infrastructure,
826418,Infrastructure,
826419,Infrastructure,
826465,Infrastructure,
826508,Infrastructure,
826457,Infrastructure,
826510,Budget,
826408,Infrastructure,
826426,Infrastructure,
826424,Infrastructure,
826515,Infrastructure,
823917,Budget,
823961,Immigration,
826503,Infrastructure,
826534,Infrastructure,
826445,Infrastructure,
826551,Infrastructure,
826466,Infrastructure,
823955,Trade,
823920,Trade,
826528,Infrastructure,
826529,Infrastructure,
826563,Infrastructure,
826567,Infrastructure,
826661,Other,
823945,International relations,
826675,Trade,
826691,Budget,
826689,Budget,
823949,International relations,
826663,Other,
823932,Trade,
826656,Income and Tax,
823930,International relations,
826679,Trade,
823906,Income and Tax,
823914,Wartime,
826613,Infrastructure,
823957,Infrastructure,
823936,Infrastructure,
826514,Infrastructure,
826440,Infrastructure,
826719,Immigration,
826540,Infrastructure,
823946,International relations,
826696,Income and Tax,
826805,Wartime,
826654,Budget,
826746,Budget,
826519,Infrastructure,
826707,International relations,
826695,Budget,
826870,Budget,
826827,Infrastructure,
826814,Infrastructure,
826809,Wartime,
826520,Infrastructure,
826780,Income and Tax,
826764,Budget,
826830,Health care,
826738,Budget,
826846,International relations,
826766,Budget,
826808,Wartime,
826757,Trade,
826849,Other,
826742,Budget,
826812,Trade,
826756,Income and Tax,
826874,Budget,
826929,Trade,
826917,Health care,
826886,Budget,
826896,Budget,
826914,Budget,
826931,Budget,
826806,Wartime,
826908,Wartime,
826949,Other,
826977,Budget,
826951,Other,
826882,Trade,
827055,Other,
826815,Infrastructure,
826981,Budget,
826902,Budget,
826876,Trade,
827009,Immigration,
827037,Immigration,
827027,Income and Tax,
827015,Immigration,
826912,Budget,
827049,Other,
826970,Infrastructure,
826904,Budget,
827052,Other,
827112,Immigration,
827013,Immigration,
827106,Budget,
827264,Infrastructure,
827083,Trade,
827063,Trade,
827108,Budget,
827228,Trade,
827001,Immigration,
826983,Trade,
826920,Trade,
827115,Income and Tax,
827045,Other,
827065,Budget,
827075,Budget,
827287,Budget,
826925,Trade,
827029,Trade,
827031,Budget,
827060,Other,
827057,Income and Tax,
827213,Other,
827328,Trade,
827192,Other,
827093,Budget,
827279,Budget,
826990,Trade,
827033,Trade,
827219,Other,
827302,Trade,
827319,Trade,
827322,Trade,
827340,Budget,
827321,Budget,
826953,Other,
827326,Trade,
827155,Infrastructure,
827147,Trade,
827179,Trade,
827342,Trade,
827349,Budget,
827384,Other,
827103,Budget,
827087,Trade,
827348,Trade,
827346,Income and Tax,
827404,Budget,
827395,Budget,
827335,Infrastructure,
827376,Other,
827368,Other,
827330,Trade,
827378,Budget,
827337,International relations,
827607,Trade,
827419,Immigration,
827480,Infrastructure,
827439,Trade,
823980,Trade,
827589,Budget,
827408,Trade,
827506,Infrastructure,
827535,Income and Tax,
827412,Trade,
827449,Trade,
827619,Budget,
827597,Trade,
827612,Budget,
827421,Immigration,
823992,Trade,
824080,Immigration,
827594,Budget,
827387,Budget,
827587,Budget,
824031,Other,
824055,Infrastructure,
827624,Immigration,
827548,Other,
827578,Budget,
827627,Immigration,
824099,Other,
824001,International relations,
824025,Trade,
824017,Budget,
823996,Trade,
824047,Infrastructure,
824107,Other,
824191,Immigration,
824098,Budget,
824101,Health care,
824103,Health care,
824143,Other,
824189,Immigration,
824087,Infrastructure,
824074,Immigration,
824241,Infrastructure,
824221,Other,
827478,Infrastructure,
824108,Other,
824158,Immigration,
824245,Trade,
824233,Other,
824172,Infrastructure,
824231,Infrastructure,
824279,Infrastructure,
824007,International relations,
824260,Infrastructure,
824147,Trade,
824243,Trade,
824355,Immigration,
824003,International relations,
824132,Trade,
824184,Infrastructure,
824072,Immigration,
824202,Infrastructure,
824335,Infrastructure,
824084,Immigration,
824204,Infrastructure,
824299,Other,
824393,Other,
824082,Immigration,
824223,Other,
824370,Budget,
824385,Infrastructure,
827531,Income and Tax,
827443,International relations,
824291,Trade,
824275,Budget,
824387,Budget,
824372,Budget,
824465,Infrastructure,
824424,Immigration,
824467,Infrastructure,
824475,Infrastructure,
824317,Trade,
824383,Budget,
824330,Other,
824420,Other,
824301,Other,
824277,Infrastructure,
824399,Other,
824305,Trade,
824477,Trade,
824364,Immigration,
824485,Infrastructure,
824457,Infrastructure,
824194,Infrastructure,
824422,Other,
824200,Infrastructure,
824479,Infrastructure,
824436,Immigration,
824430,Immigration,
824428,Immigration,
824198,Infrastructure,
824442,Infrastructure,
827651,Infrastructure,
824469,Other,
824483,Infrastructure,
824426,Immigration,
827685,Budget,
824455,Infrastructure,
824497,Trade,
827675,Other,
827662,Infrastructure,
824412,Trade,
824414,Trade,
827751,Trade,
827654,Trade,
827674,Other,
827779,Budget,
824407,Trade,
827724,Budget,
827749,Trade,
827668,Infrastructure,
828617,Infrastructure,
827757,Budget,
824416,Other,
828601,Infrastructure,
827805,Trade,
827771,Budget,
824403,Infrastructure,
828684,Immigration,
828679,Trade,
827777,Budget,
827659,Health care,
828693,Infrastructure,
827802,Other,
827827,Budget,
828691,Budget,
828681,Trade,
827845,Other,
827773,Trade,
827767,Budget,
828588,Other,
828682,Budget,
827813,Immigration,
827857,Trade,
828611,Trade,
828703,Infrastructure,
828675,Budget,
827809,Infrastructure,
828695,Trade,
828775,Trade,
828730,Budget,
827852,Other,
827728,Budget,
827833,Immigration,
828784,Trade,
828738,Budget,
828795,Budget,
828697,Trade,
828874,Trade,
828741,Immigration,
828876,Budget,
828789,Immigration,
828838,Trade,
828739,Immigration,
828652,Infrastructure,
828861,Trade,
828902,Budget,
828865,Trade,
828878,Trade,
828886,Budget,
828884,Trade,
828856,Trade,
828824,Budget,
828896,Income and Tax,
828714,Budget,
828713,Immigration,
828852,Trade,
828836,Trade,
828898,Income and Tax,
828988,Trade,
828971,Trade,
828721,Trade,
828870,Trade,
828904,Income and Tax,
828719,Trade,
828922,Budget,
829016,Immigration,
828882,Trade,
829024,Budget,
828992,Budget,
829033,Budget,
829035,Budget,
829045,Budget,
828880,Trade,
829047,Budget,
828912,Budget,
829071,Infrastructure,
829043,Budget,
829108,Income and Tax,
829029,Other,
829085,Infrastructure,
829010,Immigration,
828909,Budget,
829031,Budget,
829037,Budget,
828937,Budget,
829202,Other,
829130,Budget,
829149,Budget,
829217,Other,
829041,Budget,
829213,Other,
829123,Budget,
828788,Trade,
829171,Other,
829125,Budget,
829086,Infrastructure,
829177,Immigration,
829117,International relations,
829267,Trade,
829089,Trade,
829167,Other,
829252,Trade,
829253,Trade,
829335,Trade,
829256,Trade,
829243,Trade,
829322,Infrastructure,
829150,Budget,
829283,Trade,
829327,Trade,
829251,Trade,
829280,Trade,
829320,Infrastructure,
829337,Trade,
829353,Trade,
829372,Trade,
829365,Trade,
829281,Trade,
829343,Trade,
829290,Trade,
829547,Trade,
829346,Income and Tax,
829344,Trade,
829449,Other,
829500,Trade,
829448,Other,
829398,Trade,
829271,Trade,
829345,Trade,
829520,Trade,
829457,Trade,
829651,Trade,
829543,Trade,
829594,Trade,
829630,Trade,
829719,Trade,
829511,Trade,
829584,Trade,
829664,Trade,
829517,Trade,
829638,Trade,
829438,Other,
829392,Trade,
829469,Other,
829446,Infrastructure,
829550,Trade,
829383,Trade,
829480,Infrastructure,
829751,Trade,
829435,Infrastructure,
829761,Trade,
829276,Trade,
829661,Trade,
829473,Other,
829723,Trade,
829632,Trade,
829407,Budget,
829458,Other,
829763,Trade,
829826,Trade,
829733,Trade,
829773,Trade,
829777,Trade,
829822,Trade,
829746,Trade,
829825,Trade,
829848,Trade,
829792,Trade,
829775,Trade,
829805,Trade,
829750,Trade,
829913,Other,
829897,Trade,
829857,Trade,
829727,Trade,
829844,Trade,
829850,Trade,
829830,Trade,
829426,Trade,
829900,Trade,
829894,Trade,
829864,Trade,
829837,Budget,
829854,Trade,
829965,Trade,
829947,Trade,
829969,Trade,
829975,Trade,
829981,Trade,
829899,Other,
829930,Other,
829937,Trade,
829781,Trade,
829941,Trade,
829979,Trade,
830022,Trade,
829977,Trade,
830024,Trade,
829992,Trade,
830004,Trade,
830173,Trade,
830072,Trade,
829920,Other,
830061,Trade,
830171,Trade,
829982,Trade,
830005,Trade,
830000,Trade,
830133,Trade,
830147,Trade,
829916,Other,
830001,Trade,
830043,Trade,
830076,Trade,
830117,Trade,
830239,Trade,
830181,Trade,
830108,Trade,
830209,Trade,
829998,Other,
830152,Trade,
829939,Trade,
830044,Trade,
829881,Trade,
830137,Trade,
830197,Trade,
830219,Trade,
830235,Trade,
830126,Trade,
830243,Trade,
830078,Trade,
830237,Trade,
830274,Trade,
830252,Trade,
830357,Trade,
830455,Infrastructure,
830320,Trade,
830407,Other,
830272,Trade,
830026,Trade,
830295,Trade,
830262,Trade,
830104,Trade,
830461,Other,
830762,Trade,
830581,Trade,
830380,Infrastructure,
830421,Other,
830597,Trade,
830460,Other,
830527,Trade,
830568,Trade,
830712,Trade,
830466,Other,
830474,Other,
830506,Other,
830531,Trade,
830556,Trade,
830138,Trade,
830670,Trade,
830605,Trade,
830717,Trade,
830120,Trade,
830543,Trade,
830562,Trade,
830718,Trade,
830074,Trade,
830871,Infrastructure,
830623,Trade,
830412,Infrastructure,
830828,Trade,
830692,Trade,
830503,Other,
830786,Trade,
830875,Infrastructure,
830788,Trade,
830928,Infrastructure,
830820,Trade,
830901,Infrastructure,
830103,Trade,
830944,Infrastructure,
830914,Infrastructure,
830872,Infrastructure,
830737,Trade,
830877,Infrastructure,
830899,Infrastructure,
830934,Infrastructure,
830868,Infrastructure,
830885,Trade,
830972,Infrastructure,
830949,Infrastructure,
830982,Infrastructure,
830907,Infrastructure,
831016,Infrastructure,
830942,Infrastructure,
830993,Infrastructure,
830977,Infrastructure,
830881,Trade,
830876,Infrastructure,
830962,Infrastructure,
830974,Infrastructure,
831004,Infrastructure,
830986,Infrastructure,
830968,Infrastructure,
831024,Infrastructure,
831034,Infrastructure,
831026,Infrastructure,
831020,Infrastructure,
830918,Infrastructure,
830954,Infrastructure,
831079,Infrastructure,
831073,Infrastructure,
831038,Infrastructure,
831132,Infrastructure,
831083,Infrastructure,
831119,Infrastructure,
831103,Infrastructure,
831128,Infrastructure,
831055,Infrastructure,
831146,Infrastructure,
831134,Infrastructure,
831097,Infrastructure,
831085,Infrastructure,
831002,Infrastructure,
830983,Infrastructure,
831124,Other,
831249,Infrastructure,
831108,Infrastructure,
831139,Infrastructure,
831187,Infrastructure,
831245,Infrastructure,
831040,Infrastructure,
831137,Infrastructure,
831168,Infrastructure,
831318,Other,
831175,Infrastructure,
831114,Infrastructure,
831207,Infrastructure,
831199,Infrastructure,
831288,Other,
831359,Other,
831236,Infrastructure,
831195,Infrastructure,
831304,Other,
831357,Other,
831356,Other,
831358,Other,
831217,Infrastructure,
831239,Infrastructure,
831198,Other,
831296,Other,
831209,Infrastructure,
831330,Health care,
831221,Infrastructure,
831183,Infrastructure,
831277,Other,
831336,Other,
831367,Other,
831157,Infrastructure,
831235,Infrastructure,
831328,Health care,
831274,Infrastructure,
831314,Other,
831354,Other,
831361,Other,
831276,Other,
831351,Other,
831388,Other,
831182,Infrastructure,
831352,Other,
831387,Other,
831360,Other,
831380,Other,
831376,Other,
831324,Other,
831399,Other,
831112,Infrastructure,
831412,Other,
831415,Other,
831419,Other,
831420,Other,
831363,Other,
831436,Other,
831435,Other,
831421,Other,
831427,Other,
831417,Other,
831468,Trade,
831431,Other,
831501,Trade,
831433,Other,
831408,Other,
831505,Trade,
831438,Other,
831181,Infrastructure,
831440,Other,
831042,Infrastructure,
831439,Other,
831518,Trade,
831577,Infrastructure,
831533,Trade,
831619,Infrastructure,
831659,Infrastructure,
831804,Trade,
831571,Trade,
831531,Trade,
831580,Infrastructure,
831679,Infrastructure,
831506,Trade,
831599,Infrastructure,
831523,Trade,
831630,Infrastructure,
831601,Infrastructure,
831775,Trade,
831920,Trade,
831933,Trade,
831635,Infrastructure,
831799,Trade,
831600,Infrastructure,
831574,Infrastructure,
831966,Trade,
831771,Trade,
831973,Trade,
831913,Trade,
831676,Infrastructure,
831919,Trade,
831795,Trade,
831627,Infrastructure,
831922,Trade,
832050,Other,
832002,Other,
831996,Income and Tax,
832067,Other,
831645,Infrastructure,
831992,Other,
831669,Infrastructure,
831720,Trade,
831797,Trade,
832007,Wartime,
832026,Infrastructure,
831978,Infrastructure,
831766,Trade,
831772,Trade,
832008,Wartime,
831744,Trade,
831972,Trade,
831593,Infrastructure,
832051,Other,
831958,Trade,
831641,Infrastructure,
831774,Trade,
831623,Infrastructure,
832075,Health care,
832017,Immigration,
832001,Other,
831997,Income and Tax,
832082,Other,
832096,Wartime,
832076,Health care,
832077,Health care,
832100,Wartime,
832091,Wartime,
832074,Trade,
832089,Wartime,
832083,Other,
832084,Other,
832141,Wartime,
832107,International relations,
832118,International relations,
832143,Infrastructure,
832114,Wartime,
832208,Other,
832214,Other,
832120,Wartime,
832135,Infrastructure,
832155,Other,
832210,Budget,
832221,Other,
832198,Other,
832102,Wartime,
832245,Infrastructure,
832222,Other,
832267,Other,
832326,Trade,
832320,Trade,
832313,Trade,
832310,Trade,
832359,Trade,
832281,Other,
832260,Other,
832331,Trade,
832354,Trade,
832275,Other,
832206,Other,
832236,Other,
832464,Trade,
832375,Trade,
832481,Trade,
832426,Trade,
832469,Trade,
832327,Trade,
832277,Other,
832305,Trade,
832410,Trade,
832345,Trade,
832402,Trade,
832256,Wartime,
832361,Trade,
832258,Other,
832396,Trade,
832378,Trade,
832483,Trade,
832357,Trade,
832386,Other,
832332,Trade,
832380,Trade,
832389,Trade,
832443,Other,
832283,Other,
832322,Trade,
832243,Other,
832352,Trade,
832487,Trade,
832400,Trade,
832507,Trade,
832254,Other,
832406,Trade,
832477,Income and Tax,
832511,Trade,
832252,Other,
832458,Trade,
832391,Trade,
832324,Other,
832505,Trade,
832462,Trade,
832490,Trade,
832500,Trade,
832392,Trade,
832527,Trade,
832343,Trade,
832553,Trade,
832534,Trade,
832384,Trade,
832341,Trade,
832515,Trade,
832549,Trade,
832404,Trade,
832523,Trade,
832612,Trade,
832613,Trade,
832568,Trade,
832601,Trade,
832559,Trade,
832576,Trade,
832541,Trade,
832614,Trade,
832574,Trade,
832641,Trade,
832539,Trade,
832560,Trade,
832672,Trade,
832731,Trade,
832767,Trade,
832667,Trade,
832716,Trade,
832761,Trade,
832674,Trade,
832671,Trade,
832705,Trade,
832914,Trade,
833217,Infrastructure,
832746,Trade,
832887,Trade,
832759,Trade,
833090,Trade,
833131,Infrastructure,
832785,Trade,
833121,Infrastructure,
833084,Trade,
832765,Trade,
832682,Trade,
833239,Infrastructure,
833240,Infrastructure,
833029,Trade,
832888,Trade,
833021,Trade,
833145,Infrastructure,
832863,Trade,
832779,Trade,
832886,Trade,
832998,Income and Tax,
832985,Trade,
833160,Infrastructure,
833134,Infrastructure,
833147,Infrastructure,
832734,Trade,
833278,Other,
833197,Infrastructure,
833101,Trade,
832889,Trade,
833283,Other,
833301,Other,
833242,Infrastructure,
832555,Trade,
832538,Trade,
833244,Infrastructure,
833120,Infrastructure,
833318,Wartime,
833303,Other,
833277,Other,
833263,Infrastructure,
833340,International relations,
833330,Wartime,
833287,Other,
833097,Trade,
833233,Infrastructure,
833324,International relations,
833319,International relations,
833290,Other,
833252,International relations,
833316,International relations,
833347,International relations,
833388,Infrastructure,
833265,Infrastructure,
833299,Other,
833109,Trade,
833355,Wartime,
833320,International relations,
833518,Budget,
833246,Other,
833288,Other,
833289,Other,
833291,Other,
833238,Infrastructure,
833412,Trade,
833559,Infrastructure,
833389,Infrastructure,
833353,International relations,
833528,Infrastructure,
833136,Infrastructure,
833480,Budget,
833499,Wartime,
833421,Budget,
833566,Infrastructure,
833564,Infrastructure,
832913,Trade,
833613,Budget,
833620,Budget,
833686,Budget,
833556,Infrastructure,
833739,Budget,
833553,Infrastructure,
833557,Infrastructure,
833712,Budget,
833881,Budget,
833579,Infrastructure,
833783,Infrastructure,
833697,Wartime,
833800,Infrastructure,
833899,Trade,
833573,Infrastructure,
833852,Infrastructure,
833681,Other,
833592,Other,
833839,Infrastructure,
833837,Infrastructure,
833906,Budget,
833569,Infrastructure,
833832,Infrastructure,
833892,Trade,
833900,Budget,
833960,Trade,
833847,Budget,
833826,Other,
833934,Health care,
833431,Budget,
833763,Infrastructure,
833992,Trade,
833885,Infrastructure,
833969,Trade,
833684,Budget,
833955,Trade,
833860,Infrastructure,
833795,Infrastructure,
834002,Trade,
833954,Trade,
833788,Budget,
833753,Budget,
833982,Trade,
833944,Trade,
833917,Budget,
834045,Trade,
833958,Trade,
833835,Infrastructure,
833953,Trade,
833943,Trade,
834003,Trade,
833962,Trade,
834015,Trade,
834106,International relations,
833945,Trade,
834130,International relations,
834100,International relations,
834051,Other,
834057,Infrastructure,
834077,Other,
834054,Trade,
834055,Trade,
833891,Infrastructure,
833568,Infrastructure,
833687,Budget,
834120,International relations,
833863,Infrastructure,
834107,Budget,
834046,Infrastructure,
833854,Infrastructure,
834129,Wartime,
834058,Infrastructure,
833890,Budget,
834161,Other,
833773,Trade,
834171,Other,
834099,International relations,
834140,International relations,
834160,Other,
834143,International relations,
834235,Other,
834152,International relations,
834305,Other,
834246,Other,
834195,Other,
833218,Infrastructure,
834226,Other,
834194,Other,
834242,Other,
834180,Other,
834182,Other,
834334,Other,
834356,Other,
834371,Other,
834281,Other,
834244,Other,
834283,Infrastructure,
834402,Other,
834142,International relations,
834378,Other,
834306,Other,
834403,Other,
834150,International relations,
834423,Other,
834412,Other,
834304,Other,
834434,Other,
834391,Other,
834145,Wartime,
834407,Other,
834269,Other,
834522,Infrastructure,
834413,Other,
834435,Other,
834466,International relations,
834523,Infrastructure,
834550,Income and Tax,
834376,Other,
834476,Immigration,
834555,Income and Tax,
834490,Other,
834454,Other,
834439,Other,
834349,Other,
834432,Other,
834400,Other,
834707,Immigration,
834521,Infrastructure,
834562,Trade,
834265,Infrastructure,
834518,Infrastructure,
834718,International relations,
834625,Income and Tax,
834620,Income and Tax,
834428,Other,
834586,Income and Tax,
834444,Other,
834442,Other,
834066,Trade,
834629,Income and Tax,
834563,Income and Tax,
834590,Income and Tax,
834714,International relations,
834270,Other,
834548,Income and Tax,
834578,Income and Tax,
834259,Other,
834616,Income and Tax,
834298,Other,
834592,Income and Tax,
834730,Immigration,
834777,Trade,
834791,Income and Tax,
834762,Other,
834782,Income and Tax,
834775,Other,
834617,Income and Tax,
834764,Trade,
834622,Income and Tax,
834610,Income and Tax,
834789,Income and Tax,
834708,Immigration,
834568,Income and Tax,
834787,Income and Tax,
834607,Income and Tax,
834804,Income and Tax,
834530,Infrastructure,
834803,Income and Tax,
834825,Trade,
834818,Trade,
834805,Income and Tax,
834553,Income and Tax,
834808,Income and Tax,
834724,Immigration,
834815,Trade,
834604,Income and Tax,
834822,Trade,
834830,Trade,
834857,Other,
834838,Trade,
834863,Other,
834836,Trade,
828198,Trade,
828046,Trade,
827874,Income and Tax,
834853,Other,
828188,Trade,
834861,Other,
828132,Other,
827959,Trade,
828029,Immigration,
828051,Budget,
827877,Other,
827893,Budget,
828182,Trade,
828277,International relations,
828116,Infrastructure,
827897,Budget,
827995,Infrastructure,
828041,Trade,
828128,Other,
828249,Income and Tax,
828268,Immigration,
828233,Trade,
828087,Budget,
828271,Budget,
828025,Income and Tax,
828245,Budget,
827942,Trade,
828227,Budget,
827969,Trade,
828050,Trade,
828033,Budget,
828235,Trade,
827899,Other,
828048,Budget,
827946,Trade,
828212,International relations,
828107,Infrastructure,
828314,Education,
828115,Infrastructure,
834832,Trade,
827931,Budget,
827919,Budget,
834834,Trade,
827933,Income and Tax,
828093,Budget,
828156,Other,
828111,Infrastructure,
828053,Trade,
827889,Budget,
827921,Trade,
828173,International relations,
828225,Trade,
828262,Budget,
828086,Budget,
828273,Budget,
827927,Infrastructure,
828035,Budget,
828095,Budget,
828073,Budget,
828214,Budget,
828317,Infrastructure,
828075,Budget,
828192,Trade,
827907,Other,
828266,Other,
827935,Trade,
828237,Trade,
828019,Other,
828255,Trade,
827944,Trade,
828180,Budget,
828301,Other,
828391,Budget,
828357,Budget,
828462,Budget,
828384,Immigration,
828562,Trade,
834922,International relations,
828376,Budget,
834961,Budget,
834993,Other,
834995,Other,
834903,International relations,
828398,Other,
834969,Other,
828371,Immigration,
828438,Budget,
835097,Wartime,
835105,Wartime,
834970,Other,
828484,Immigration,
835001,Other,
835084,Wartime,
828572,Trade,
834868,Other,
828525,Trade,
834952,Budget,
834949,Budget,
828473,Infrastructure,
834876,Immigration,
828454,Income and Tax,
835102,Wartime,
834929,Other,
835068,Income and Tax,
834953,Budget,
835076,Income and Tax,
835015,Infrastructure,
834941,Budget,
828442,Budget,
835098,Wartime,
834930,Other,
835005,Other,
834928,Other,
828528,Trade,
828521,Immigration,
835032,Income and Tax,
834959,Infrastructure,
828504,Other,
834960,Budget,
828527,Trade,
828469,Trade,
828422,Budget,
828495,Infrastructure,
828529,Infrastructure,
828408,Immigration,
828573,Immigration,
828535,Infrastructure,
828298,Budget,
828433,Trade,
835094,Wartime,
835086,Wartime,
835088,Wartime,
835063,Other,
828380,Immigration,
835107,Wartime,
828551,Infrastructure,
828533,Infrastructure,
834980,Other,
835103,Wartime,
835146,Trade,
835139,Trade,
835131,Wartime,
834827,Trade,
835169,Trade,
828475,Budget,
835118,Wartime,
835181,Other,
835182,Trade,
835147,Trade,
835562,Infrastructure,
835374,Wartime,
835208,Trade,
835456,Other,
835244,Income and Tax,
835214,Infrastructure,
835454,Other,
835578,International relations,
835506,Infrastructure,
835414,Wartime,
835583,Infrastructure,
835581,Infrastructure,
835601,Infrastructure,
835497,Immigration,
835413,Health care,
835564,Infrastructure,
835279,Income and Tax,
835485,Infrastructure,
835587,Infrastructure,
835217,Infrastructure,
835344,Income and Tax,
835355,Income and Tax,
835204,International relations,
835277,Income and Tax,
835619,Other,
835585,Infrastructure,
835361,Income and Tax,
835593,Infrastructure,
835418,Wartime,
835452,Other,
835326,Income and Tax,
835402,Health care,
835237,Income and Tax,
835318,Income and Tax,
835229,Income and Tax,
835276,Income and Tax,
835572,Infrastructure,
835565,Infrastructure,
835421,Wartime,
835448,Other,
835351,Income and Tax,
835312,Income and Tax,
835282,Income and Tax,
835496,Immigration,
835183,Trade,
835379,Wartime,
835389,Wartime,
835479,Other,
835623,Other,
835520,Other,
835328,Income and Tax,
835327,Income and Tax,
835345,Income and Tax,
835653,Wartime,
835606,International relations,
835397,Wartime,
835672,Health care,
835390,Health care,
835652,International relations,
835665,Other,
835681,Health care,
835675,International relations,
835682,International relations,
835589,Infrastructure,
835591,Infrastructure,
835689,International relations,
835686,International relations,
835693,International relations,
828457,Infrastructure,
835362,Income and Tax,
835521,Infrastructure,
828503,Other,
835683,International relations,
835685,International relations,
834996,Other,
835691,International relations,
835800,Other,
835817,Other,
835770,Health care,
835738,Health care,
835714,Health care,
835768,Health care,
835711,International relations,
835772,International relations,
835814,Other,
835819,Other,
835720,International relations,
835823,Other,
835702,International relations,
835792,International relations,
835894,Other,
835695,International relations,
835951,Income and Tax,
836015,Income and Tax,
835971,Income and Tax,
835776,Health care,
835818,Other,
836025,Income and Tax,
835927,Other,
835900,Other,
836002,Income and Tax,
835846,Other,
835976,Income and Tax,
835832,International relations,
835766,International relations,
836069,Other,
835912,Other,
835786,International relations,
836003,Income and Tax,
835782,Health care,
836089,Infrastructure,
835911,Other,
835973,Income and Tax,
835824,International relations,
835864,Other,
835827,Infrastructure,
836027,Income and Tax,
836045,Other,
836048,Income and Tax,
835942,Other,
835850,Other,
836047,Other,
835996,Infrastructure,
835863,Other,
836103,Infrastructure,
836099,Infrastructure,
836052,Income and Tax,
835960,Income and Tax,
835914,Other,
836005,Income and Tax,
836096,Infrastructure,
835972,Income and Tax,
836114,Infrastructure,
836191,International relations,
836183,Trade,
836102,Infrastructure,
835740,International relations,
836147,Trade,
835726,International relations,
836116,Infrastructure,
836181,Trade,
835724,International relations,
836193,Other,
836151,Trade,
836203,Other,
836182,Other,
836196,Trade,
836142,Trade,
836126,Trade,
836108,Infrastructure,
836218,Trade,
836206,Trade,
836277,Budget,
836214,Trade,
836226,Trade,
836113,Infrastructure,
836246,Budget,
836245,Budget,
836300,Health care,
836265,Budget,
836337,Health care,
836266,Budget,
836194,Trade,
836357,Health care,
836326,Wartime,
836306,Health care,
836219,Trade,
836304,Health care,
836407,Wartime,
836417,Wartime,
836344,Health care,
836302,Health care,
836310,Wartime,
836318,Health care,
836316,Health care,
836464,Other,
836435,Infrastructure,
836312,Wartime,
836332,Health care,
836354,Wartime,
836327,Health care,
836365,Wartime,
836356,Wartime,
836343,Wartime,
836457,Other,
836364,Wartime,
836362,Wartime,
836431,Other,
836346,Health care,
836474,Other,
836406,Wartime,
836463,Other,
836470,Other,
836361,Health care,
836330,Health care,
836390,Health care,
836507,Wartime,
836323,Health care,
836480,Infrastructure,
836564,Other,
836558,Other,
836504,Wartime,
836454,Infrastructure,
836459,Other,
836525,Wartime,
836278,Budget,
834904,International relations,
836499,Wartime,
836506,Wartime,
828566,Budget,
836523,Wartime,
836561,Other,
836604,Other,
836529,Wartime,
836436,Infrastructure,
836508,Wartime,
836563,Other,
836603,Other,
836592,Other,
836594,Other,
836517,Wartime,
836605,Other,
836580,Other,
836607,Other,
836635,Other,
836633,Other,
836619,Other,
836616,Other,
836700,Infrastructure,
836625,Other,
836627,Other,
836509,Wartime,
836689,Infrastructure,
836667,Infrastructure,
836621,Other,
836806,Trade,
836620,Other,
836751,International relations,
836739,Trade,
836654,Other,
836757,International relations,
836877,Trade,
836632,Other,
836911,Trade,
836907,Trade,
837060,Infrastructure,
837008,Infrastructure,
836928,Trade,
836760,International relations,
836859,Trade,
836915,Trade,
836741,Trade,
836769,Trade,
836773,Trade,
837005,Infrastructure,
836716,Wartime,
836918,Trade,
836874,Trade,
837090,Infrastructure,
836761,International relations,
836852,Trade,
836765,International relations,
836950,Infrastructure,
837065,Infrastructure,
836904,Trade,
836879,Trade,
836813,Trade,
836869,Trade,
837049,Infrastructure,
836626,Other,
828545,Infrastructure,
836758,International relations,
836861,Trade,
837095,Infrastructure,
836764,International relations,
837039,Infrastructure,
837057,Infrastructure,
836628,Other,
837092,Infrastructure,
837067,Infrastructure,
837114,Infrastructure,
837094,Infrastructure,
837035,Infrastructure,
836762,International relations,
837108,Infrastructure,
837206,Other,
837173,Infrastructure,
836938,Infrastructure,
837202,Infrastructure,
837163,Infrastructure,
837166,Infrastructure,
837139,Infrastructure,
837118,Infrastructure,
836940,Infrastructure,
837185,Infrastructure,
837245,Other,
836630,Other,
836634,Other,
836821,Trade,
837246,Other,
837204,Infrastructure,
837262,Other,
837233,Other,
837242,Other,
837203,Other,
837247,Other,
837257,Other,
837230,Other,
837255,Other,
837351,Trade,
837353,Trade,
837373,Trade,
837393,Trade,
837303,Trade,
837519,Trade,
837363,Trade,
837458,Other,
837361,Trade,
837466,Trade,
834858,Other,
837380,Other,
837343,Trade,
837355,Trade,
837412,Trade,
837497,Trade,
837562,Trade,
837256,Other,
837527,Trade,
837352,Trade,
837544,Trade,
837401,Trade,
837500,Trade,
837404,Trade,
837350,International relations,
837503,Trade,
